Sentence #	Word	POS	Tag	
Sentence: 21	rt	~	O
	@URL:	G	O
	@URL	@	O
	@URL	@	O
	@URL	@	O
	enbrel	R	O
	also	R	O
	available	A	O
	as	P	O
	prefilled	A	O
	syringe,	N	O
	much	R	O
	gentler.	A	O
	pen	N	O
	leaves	V	O
	bruises!	N	O
	#rheum	#	B-ADR
	0	0	O
Sentence: 22	note	N	O
	to	P	O
	self:	N	O
	do	V	O
	not	R	O
	take	V	O
	#fluoxetine	^	O
	and	&	O
	#aleved	V	O
	together.	R	O
	i'm	L	O
	a	D	O
	space	N	B-ADR
	cadet	N	I-ADR
	today!	N	O
	#druginteractions	#	O
	0	0	O
Sentence: 23	i'm	L	O
	sure	A	O
	this	D	O
	fluoxetine	N	O
	is	V	O
	making	V	O
	my	D	O
	illness	N	B-ADR
	worse,	A	I-ADR
	especially	R	O
	since	P	O
	i	O	O
	can't	V	B-ADR
	eat..	V	I-ADR
	0	0	O
Sentence: 24	i	O	O
	have	V	O
	some	D	O
	seriously	R	O
	disturbing	A	O
	dreams.	N	O
	thanks	N	O
	#fluoxetine	#	O
	thanks	N	O
	a	D	O
	freaking	A	O
	lot.	N	O
	well	R	O
	i	O	O
	guess	V	O
	it's	L	O
	better	A	O
	than	P	O
	being	V	O
	#suicidal	A	B-ADR
	..only	R	O
	just	R	O
	0	0	O
Sentence: 25	rt	~	O
	@URL:	V	O
	finding	V	O
	out	T	O
	i'm	L	O
	allergic	A	B-ADR
	to	P	O
	fluoxetine	^	O
	was	V	O
	a	D	O
	bit	N	O
	of	P	O
	a	D	O
	shock	N	O
	tho.	P	O
	mind,	N	O
	only	R	O
	someone	N	O
	from	P	O
	yorkshire	^	O
	could	V	O
	be	V	O
	actually	R	O
	allergic	A	O
	à	G	O
	0	0	O
Sentence: 26	i	O	O
	took	V	O
	11	$	O
	pills	N	O
	of	P	O
	geodon	^	O
	i	O	O
	was	V	O
	rushed	V	O
	to	P	O
	the	D	O
	hospital	N	O
	they	O	O
	had	V	O
	to	P	O
	stick	V	O
	a	D	O
	tube	N	O
	up	P	O
	my	D	O
	nose	N	O
	ugh	!	O
	never	R	O
	again	R	O
	i	O	O
	feel	V	O
	so	R	O
	bad	A	O
	today	N	O
	withdrawals.	N	B-ADR
	0	0	O
Sentence: 27	so	P	O
	the	D	O
	geodon	^	O
	is	V	O
	what	O	O
	made	V	O
	me	O	O
	so	R	O
	frickin	R	O
	hungry	A	B-ADR
	all	X	O
	the	D	O
	time	N	O
	cause	P	O
	i've	L	O
	eaten	V	O
	very	R	O
	little	A	O
	these	D	O
	past	A	O
	few	A	O
	days.	N	O
	0	0	O
Sentence: 28	will	V	O
	still	R	O
	be	V	O
	on	P	O
	the	D	O
	geodon,	^	O
	but	&	O
	will	V	O
	also	R	O
	be	V	O
	taking	V	O
	a	D	O
	low-dose	A	O
	alprazolam	N	O
	as	P	O
	needed	V	O
	for	P	O
	the	D	O
	sudden	N	O
	anxiety	N	B-ADR
	attacks	V	I-ADR
	ive	L	O
	been	V	O
	getting	V	O
	0	0	O
Sentence: 29	@URL	@	O
	i	O	O
	found	V	O
	the	D	O
	humira	^	O
	to	P	O
	fix	V	O
	all	D	O
	my	D	O
	crohn's	S	O
	issues,	N	O
	but	&	O
	cause	R	O
	other	A	O
	issues.	N	O
	i	O	O
	went	V	O
	off	T	O
	it	O	O
	due	A	O
	to	P	O
	issues	V	O
	w	P	O
	nerves/muscle	N	B-ADR
	spasms	V	I-ADR
	0	0	O
Sentence: 30	@URL	@	O
	mri	N	O
	showed	V	O
	lesions	N	O
	in	P	O
	my	D	O
	noggin	N	O
	:s	E	O
	got	V	O
	to	P	O
	have	V	O
	eeg	N	O
	to	P	O
	see	V	O
	if	P	O
	its	L	O
	ms	^	B-ADR
	or	&	O
	humira	^	O
	doing	V	O
	it.so	U	O
	more	A	O
	tests	N	O
	n	&	O
	messing	V	O
	about	P	O
	lolxx	!	O
	0	0	O
Sentence: 31	@URL	@	O
	it	O	O
	was	V	O
	explained	V	O
	to	P	O
	me	O	O
	that	P	O
	all	X	O
	the	D	O
	anti-tnfs	N	O
	can	V	O
	bring	V	O
	out	T	O
	other	A	O
	issues.	N	O
	i	O	O
	had	V	O
	severe	A	O
	joint	N	B-ADR
	pain	N	I-ADR
	on	P	O
	humira	^	O
	&	&	O
	remicaid	^	O
	0	0	O
Sentence: 32	@URL	@	O
	@URL	@	O
	i	O	O
	feel	V	O
	your	D	O
	pain	N	O
	:(	E	O
	just	R	O
	got	V	O
	1st	A	O
	#fistula	#	B-ADR
	urgh	!	O
	!	,	O
	humira	^	O
	worked	V	O
	for	P	O
	me	O	O
	for	P	O
	just	R	O
	3months	V	O
	then	R	O
	got	V	O
	painful	A	B-ADR
	reactions	N	I-ADR
	0	0	O
Sentence: 33	the	D	O
	day	N	O
	after	P	O
	humira	^	O
	used	V	O
	to	P	O
	be	V	O
	a	D	O
	great	A	O
	one,	$	O
	full	A	O
	of	P	O
	energy,	N	O
	low	A	O
	pain.	N	O
	after	P	O
	a	D	O
	month,	N	O
	it	O	O
	is	V	O
	now	R	O
	a	D	O
	fatigue	N	O
	filled	V	O
	achy	A	B-ADR
	day.	N	O
	#rheum	#	B-ADR
	0	0	O
Sentence: 34	rt	~	O
	@URL:	V	O
	the	D	O
	day	N	O
	after	P	O
	humira	^	O
	used	V	O
	to	P	O
	be	V	O
	a	D	O
	great	A	O
	one,	$	O
	full	A	O
	of	P	O
	energy,	N	O
	low	A	O
	pain.	N	O
	after	P	O
	a	D	O
	month,	N	O
	it	O	O
	is	V	O
	now	R	O
	a	D	O
	fatigue	N	B-ADR
	filled	V	O
	achy	A	B-ADR
	day.	N	O
	#rhà	#	O
	0	0	O
Sentence: 35	humira	^	O
	+	&	O
	thioguanine	^	O
	+	&	O
	preds	^	O
	=	,	O
	me	O	O
	have	V	O
	no	D	B-ADR
	immune	A	I-ADR
	lol..	!	O
	thankgod	!	O
	i	O	O
	on	P	O
	anti	N	O
	biotics	N	O
	for	P	O
	a	D	O
	bit...	N	O
	then	R	O
	preds	^	O
	drop	V	O
	off	T	O
	#crohns	#	B-ADR
	0	0	O
Sentence: 36	anyone	N	O
	have	V	O
	nerve	N	B-ADR
	damage	N	I-ADR
	symptoms	N	O
	(ms	G	B-ADR
	like)	P	I-ADR
	from	P	O
	enbrel	^	O
	or	&	O
	humira?	^	O
	#rheum	#	O
	0	0	O
Sentence: 37	well.	!	O
	i	O	O
	abruptly	R	O
	stopped	V	O
	taking	V	O
	lamotrigine	A	O
	(lamictal),	A	O
	and	&	O
	that	O	O
	is	V	O
	why	R	O
	i	O	O
	am	V	O
	having	V	O
	the	D	O
	pain	N	B-ADR
	and	&	O
	weakness.	N	O
	possible	A	O
	seizure.	N	B-ADR
	oops.	!	O
	0	0	O
Sentence: 38	so	R	O
	while	P	O
	i'm	L	O
	letting	V	O
	the	D	O
	thoughts	N	O
	of	P	O
	lamictal/fatal	A	O
	rashes/tonsillectomy/spinal	N	B-ADR
	tap	V	O
	settle,	V	O
	i'm	L	O
	going	V	O
	to	P	O
	go	V	O
	rescue	V	O
	a	D	O
	budgie.	N	O
	0	0	O
Sentence: 39	oh...	!	O
	oh	!	O
	my	D	O
	hair	N	B-ADR
	is...	V	I-ADR
	definitely	R	I-ADR
	falling	V	I-ADR
	out.	T	I-ADR
	._.	E	O
	i	O	O
	just	R	O
	noticed	V	O
	it	O	O
	starting	V	O
	tonight.	R	O
	google	^	O
	tells	V	O
	me	O	O
	other	A	O
	people	N	O
	on	P	O
	lamictal	^	O
	have	V	O
	this.	D	O
	0	0	O
Sentence: 40	@URL	@	O
	it's	L	O
	called	V	O
	lamotrigine,	^	O
	i'm	L	O
	pretty	R	O
	sure	A	O
	the	D	O
	mix	N	O
	of	P	O
	them	D	O
	both	O	O
	is	V	O
	making	V	O
	me	O	O
	sick.	A	O
	i	O	O
	don't	V	O
	think	V	O
	bipolar	A	B-ADR
	&	&	O
	add	V	B-ADR
	mix	N	O
	very	R	O
	well..	A	O
	0	0	O
Sentence: 41	what	O	O
	is	V	O
	this	D	O
	weird	A	O
	feeling	V	O
	i've	L	O
	been	V	O
	having	V	O
	all	D	O
	day?	N	O
	i've	L	O
	felt	V	O
	depressed	A	B-ADR
	yet	R	O
	oddly	R	O
	happy.	A	O
	this	O	O
	is	V	O
	the	D	O
	second	A	O
	day	N	O
	of	P	O
	bid	N	O
	#lamotrigine	#	O
	0	0	O
Sentence: 42	@URL	@	O
	didnt	V	O
	know	V	O
	lamotrigine	^	O
	was	V	O
	addictive	A	O
	stopped	V	O
	as	P	O
	didnt	V	O
	think	V	O
	were	V	O
	helping	V	O
	@URL	@	B-ADR
	3	$	O
	days	N	B-ADR
	of	P	I-ADR
	hell	N	I-ADR
	before	P	O
	realized,	V	O
	back	R	O
	on	P	O
	now	R	O
	0	0	O
Sentence: 43	@URL	@	O
	i	O	O
	feel	V	O
	your	D	O
	pain,	N	O
	im	L	O
	allergic	A	B-ADR
	to	P	O
	penicillin,	N	O
	ammoxicillin,	N	O
	levaquin,	N	O
	doxycycline.	V	O
	it	O	O
	sucks	V	O
	0	0	O
Sentence: 44	accidentally	R	O
	asphyxiating	V	O
	yourself	O	O
	trying	V	O
	to	P	O
	suck	V	O
	a	D	O
	throat	N	O
	lozenge	N	O
	when	R	O
	you	O	O
	have	V	O
	a	D	O
	stuffed	A	B-ADR
	nose.	N	I-ADR
	#that	#	O
	0	0	O
Sentence: 45	he	O	O
	said	V	O
	he	O	O
	is	V	O
	'slowly	R	O
	dying	V	O
	of	P	O
	starvation'.	N	B-ADR
	i	O	O
	don't	V	O
	want	V	O
	to	P	O
	be	V	O
	the	D	O
	one	$	O
	to	P	O
	say	V	O
	stop	V	O
	taking	V	O
	the	D	O
	aricept	N	O
	and	&	O
	namenda...	N	O
	0	0	O
Sentence: 46	@URL	@	O
	coz	P	O
	olanzapine	^	O
	increases	V	B-ADR
	hunger	N	I-ADR
	strains	N	O
	u	O	O
	all	D	O
	day	N	O
	dosile	V	O
	unless	P	O
	u	O	O
	get	V	O
	up	T	O
	when	R	O
	ur	L	O
	accilies	N	O
	still	R	O
	wud	V	O
	n	&	O
	coffee	N	O
	5am	$	O
	fog	N	O
	frost	N	O
	0	0	O
Sentence: 47	@URL	@	O
	olanzapine	^	O
	is	V	O
	amazing	A	O
	srsly,	R	O
	the	D	O
	dreams	N	B-ADR
	are	V	O
	immense,	A	O
	no	D	O
	addiction,	N	O
	its	L	O
	gorgeous,	A	O
	like	P	O
	brave	A	O
	new	A	O
	world	N	O
	soma	N	O
	to	P	O
	me	O	O
	0	0	O
Sentence: 48	olanzapine	^	O
	is	V	O
	supposed	A	O
	to	P	O
	make	V	O
	you	O	O
	a	D	O
	fat	A	B-ADR
	bastard	N	O
	i	O	O
	got	V	O
	off	T	O
	lucky.	A	O
	lithium	N	O
	makes	V	O
	my	D	O
	hand	N	O
	shake.	V	O
	bipolar	A	O
	or	&	O
	schizo	A	B-ADR
	drugs.	N	O
	0	0	O
Sentence: 49	@URL	@	O
	that's	L	O
	the	D	O
	problem	N	O
	with	P	O
	most	A	O
	of	P	O
	them	O	O
	-	,	O
	side	N	O
	effects.	N	O
	i	O	O
	was	V	O
	on	P	O
	paxil	^	O
	after	P	O
	my	D	O
	mom	N	O
	died	V	O
	and	&	O
	""it""	O	O
	stopped	V	B-ADR
	working.	V	I-ADR
	fuck	V	O
	that.	O	O
	0	0	O
Sentence: 50	@URL	@	O
	have	V	O
	to	P	O
	go	V	O
	to	P	O
	a	D	O
	doc	N	O
	now	R	O
	to	P	O
	see	V	O
	why	R	O
	i'm	L	O
	still	R	O
	gaining.	V	B-ADR
	stupid	A	O
	paxil	^	O
	made	V	O
	me	O	O
	gain	V	B-ADR
	like	P	I-ADR
	50	$	I-ADR
	pounds	N	I-ADR
	??	,	O
	and	&	O
	now	R	O
	i	O	O
	have	V	O
	to	P	O
	lose	V	O
	it	O	O
	0	0	O
Sentence: 51	anemia,	N	O
	hormones,	N	O
	depression	N	B-ADR
	&	&	O
	paxil	^	O
	are	V	O
	totally	R	O
	getting	V	O
	the	D	O
	best	A	O
	of	P	O
	me	O	O
	this	D	O
	morning.	N	O
	getting	V	B-ADR
	out	P	I-ADR
	of	P	I-ADR
	bed	N	I-ADR
	is	V	I-ADR
	haaard.	A	I-ADR
	0	0	O
Sentence: 52	my	D	O
	creativity	N	B-ADR
	was	V	I-ADR
	blocked	V	I-ADR
	by	P	O
	lithium	N	O
	and	&	O
	prozac	^	O
	and	&	O
	wellbutrin	A	O
	and	&	O
	paxil	^	O
	and	&	O
	zoloft	N	O
	and	&	O
	effexor	^	O
	and	&	O
	lexapro	^	O
	and	&	O
	cymbalta	N	O
	and	&	O
	abilify-	^	O
	0	0	O
Sentence: 53	the	D	O
	#zombieapocalypse	^	O
	will	V	O
	stem	V	O
	from	P	O
	paxil	^	O
	w/d	^	B-ADR
	symptoms.	N	O
	mark	V	O
	my	D	O
	words.	N	O
	0	0	O
Sentence: 54	for	P	O
	anxiety	N	O
	to	P	O
	penetrate	V	O
	through	P	O
	my	D	O
	drowsy	A	B-ADR
	haze	N	I-ADR
	(a	E	O
	result	N	O
	of	P	O
	the	D	O
	triumvirate	N	O
	of	P	O
	fluoxetine,	^	O
	pregabalin,	^	O
	amoxicillin?)	^	O
	is	V	O
	pretty	R	O
	good	A	O
	going.	A	O
	0	0	O
Sentence: 55	@URL	@	O
	i	O	O
	came	V	O
	off	T	O
	pristiq	N	O
	in	P	O
	july	^	O
	last	A	O
	year.	N	O
	i	O	O
	still	R	O
	get	V	O
	brain	N	B-ADR
	zaps	V	I-ADR
	when	R	O
	tired.	V	O
	my	D	O
	genitals	N	B-ADR
	arenÆt	P	I-ADR
	numb	A	I-ADR
	now	R	O
	tho	R	O
	-	,	O
	swings/roundabouts	N	O
	0	0	O
Sentence: 56	@URL	@	O
	anxiety	N	B-ADR
	has	V	O
	been	V	O
	so	R	O
	high.	A	O
	but	&	O
	yeah,	!	O
	if	P	O
	your	D	O
	dosage	N	O
	is	V	O
	high	A	O
	its	L	O
	hard	A	O
	to	P	O
	come	V	O
	off.	T	O
	i	O	O
	had	V	O
	to	P	O
	detox	V	B-ADR
	from	P	O
	pristiq	^	O
	(its	L	O
	cousin	N	O
	drug)	N	O
	0	0	O
Sentence: 57	anybody	N	O
	get	V	O
	involuntary	A	O
	facial	A	B-ADR
	spasms	N	I-ADR
	with	P	O
	prozac?	N	O
	mine	O	O
	is	V	O
	my	D	O
	right	A	O
	eye.	N	B-ADR
	does	V	O
	it	O	O
	go	V	O
	away	R	O
	or	&	O
	is	V	O
	time	N	O
	to	P	O
	try	V	O
	something	N	O
	else?	R	O
	0	0	O
Sentence: 58	@URL	@	O
	if	P	O
	i	O	O
	don't	V	O
	take	V	O
	my	D	O
	quetiapine	N	O
	i	O	O
	can	V	O
	stay	V	O
	awake	A	B-ADR
	for	P	O
	days!	N	O
	0	0	O
Sentence: 59	new	A	O
	meds	N	O
	have	V	O
	me	O	O
	out	P	B-ADR
	of	P	I-ADR
	it.	O	I-ADR
	i	O	O
	want	V	O
	therapy	N	O
	not	R	O
	doping	V	O
	up!	N	O
	i	O	O
	was	V	O
	highly	R	O
	functioning	V	O
	now	R	O
	have	V	O
	trouble	N	O
	standing!	V	O
	#quetiapine	#	O
	#bipolar	#	B-ADR
	0	0	O
Sentence: 60	-9.5lbs	$	B-ADR
	in	P	O
	14	$	O
	days.	N	O
	obvious	A	O
	now	R	O
	that	O	O
	i	O	O
	should	V	O
	have	V	O
	stopped	V	O
	the	D	O
	quetiapine	N	O
	a	D	O
	long	A	O
	long	A	O
	time	N	O
	ago	R	O
	before	P	O
	i	O	O
	got	V	O
	in	P	O
	this	D	O
	state	N	O
	0	0	O
Sentence: 61	extra	A	O
	quetiapine	N	O
	and	&	O
	two	$	O
	zopiclone	N	O
	still	R	O
	aren't	V	O
	helping	V	O
	me	O	O
	sleep.	V	B-ADR
	head	N	O
	full	A	O
	of	P	O
	broken	V	O
	biscuits	N	O
	at	P	O
	4am	$	O
	with	P	O
	horrid	A	B-ADR
	intrusive	A	I-ADR
	thoughts	N	I-ADR
	0	0	O
Sentence: 62	@URL	@	O
	that's	L	O
	what	O	O
	i	O	O
	get	V	O
	#bipolar2	#	B-ADR
	but	&	O
	the	D	O
	bloody	A	O
	quetiapine	N	O
	made	V	O
	me	O	O
	so	R	O
	bloody	R	O
	miserable.	A	O
	0	0	O
Sentence: 63	4am	$	O
	and	&	O
	the	D	O
	quetiapine	^	O
	has	V	O
	failed	V	O
	to	P	O
	sedate	V	O
	me	O	O
	#bipolar	#	O
	#insomnia	#	B-ADR
	0	0	O
Sentence: 64	(triggering)	V	O
	so...	P	O
	i'm	L	O
	taking	V	O
	quetiapine	N	O
	and	&	O
	tramadol	N	O
	pre-cutting.	N	B-ADR
	i'm	L	O
	allergic	A	O
	to	P	O
	tramadol...this	O	O
	should	V	O
	be	V	O
	interesting	A	O
	#selfharm	#	B-ADR
	0	0	O
Sentence: 65	all	D	O
	i	O	O
	have	V	O
	done	V	O
	today	N	O
	is	V	O
	sleep.	N	B-ADR
	and	&	O
	i	O	O
	still	R	O
	need	V	O
	to	P	O
	sleep	V	O
	more.	A	O
	this	O	O
	is	V	O
	a	D	O
	welcome	A	O
	change.	N	O
	#quetiapine	#	O
	0	0	O
Sentence: 66	toothache.	N	O
	discovered	V	O
	that	O	O
	somewhere	R	O
	in	P	O
	the	D	O
	paracetamol,	N	O
	codeine,	N	O
	sertraline	N	O
	#quetiapine	#	O
	combination	N	O
	there	X	O
	is	V	O
	a	D	O
	bad	A	O
	mix.	N	O
	#hallucinating	V	B-ADR
	0	0	O
Sentence: 67	@URL	@	O
	quetiapine	^	B-ADR
	made	V	O
	me	O	O
	eat	V	O
	all	D	O
	the	D	O
	sweets,	N	O
	the	D	O
	sour	A	O
	ones	N	O
	seem	V	O
	to	P	O
	help	V	O
	with	P	O
	the	D	O
	dry	A	B-ADR
	mouth	N	I-ADR
	0	0	O
Sentence: 68	rt	~	O
	@URL:	V	O
	since	P	O
	quetiapine's	Z	O
	messed	V	O
	with	P	O
	my	D	O
	prolactin	N	B-ADR
	levels,	N	I-ADR
	making	V	O
	my	D	O
	boobs	N	B-ADR
	humungous	N	I-ADR
	&	&	O
	my	D	O
	bras	N	O
	so	R	O
	expensive,	A	O
	i	O	O
	want	V	O
	a	D	O
	lingerieà	N	O
	0	0	O
Sentence: 69	rivaroxaban	^	O
	diary	N	O
	day	N	O
	8.	$	O
	left	A	O
	knee	N	O
	is	V	O
	much	R	O
	better.	A	O
	right	A	O
	knee	N	B-ADR
	still	R	I-ADR
	painful.	A	I-ADR
	back	N	I-ADR
	ache	V	I-ADR
	receding	V	O
	but	&	O
	suspect	V	O
	it	O	O
	will	V	O
	come	V	O
	back	R	O
	once	R	O
	in	P	O
	bed.	N	O
	0	0	O
Sentence: 70	08.15	$	O
	day	N	O
	13	$	O
	rivaroxaban	^	O
	diary.	N	O
	lower	R	B-ADR
	back	R	I-ADR
	ache,	V	I-ADR
	neck	N	I-ADR
	ache,	V	I-ADR
	hips	N	O
	and	&	O
	knees	N	O
	ache,	V	O
	short	A	O
	of	P	O
	breath,	N	O
	(am	V	O
	asthmatic)	A	O
	taken	V	O
	2paracetamol,	R	O
	to	P	O
	bed.	N	O
	0	0	O
Sentence: 71	06.30	$	O
	day	N	O
	14	$	O
	rivaroxaban	^	O
	diary.	N	O
	thanks	N	O
	to	P	O
	paracetamol	N	O
	and	&	O
	hot	A	O
	water	N	O
	bottle	N	O
	i	O	O
	had	V	O
	4	$	O
	hrs	N	O
	continuous	A	O
	sleep.	N	O
	woke	V	O
	uo	T	O
	with	P	O
	frontal	A	B-ADR
	headache,	N	I-ADR
	1/2	$	O
	0	0	O
Sentence: 72	13.24	$	O
	day	N	O
	15	$	O
	rivaroxaban	^	O
	diary.	N	O
	atrocious	A	O
	backache	N	B-ADR
	despite	P	O
	having	V	O
	taken	V	O
	paracetamol	N	O
	an	D	O
	hour	N	O
	ago.	R	O
	gone	V	O
	back	R	O
	to	P	O
	bed.	N	O
	0	0	O
Sentence: 73	21.21	$	O
	day	N	O
	19	$	O
	rivaroxaban	^	O
	diary.	N	O
	decided	V	O
