,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
pred,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,
word,venlafaxine,hangover,finally,starting,to,shift,after,2,huge,mugs,of,hot,water,with,giant,pieces,of,lemon..,.,,,,,,,,,,,
pos,^,N,R,V,P,N,P,$,A,N,P,A,N,P,A,N,P,N,",",,,,,,,,,,,
true,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,
pred,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,
word,woke,up,from,a,nap,with,a,really,bad,headache,",",my,2nd,headache,in,three,days,.,#trazodone,#withdrawls,,,,,,,,,,
pos,V,T,P,D,N,P,D,R,A,N,",",D,A,N,P,$,N,",",#,#,,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,B-ADR,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,B-ADR,O,O,O,O,O,O,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,
word,i,better,go,to,bed.,.,effexor,withdrawal,makes,me,feel,kinda,terrible,ugh,.,,,,,,,,,,,,,,,
pos,O,R,V,P,N,",",G,N,V,O,V,R,A,!,",",,,,,,,,,,,,,,,
true,O,O,O,O,O,O,O,B-ADR,O,O,B-ADR,I-ADR,I-ADR,O,O,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,B-ADR,O,O,O,O,I-ADR,O,O,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
word,@arzbrocki,nawh,bactrim,.,cipro,made,me,sick,once,.,,,,,,,,,,,,,,,,,,,,
pos,@,!,N,",",N,V,O,A,R,",",,,,,,,,,,,,,,,,,,,,
true,O,O,O,O,O,O,O,B-ADR,O,O,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,B-ADR,O,O,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,
word,@joec,second,day,off,effexor,&,on,viibryd,here,.,brain,zaps,are,fun,.,and,by,fun,",",i,mean,horrendous,&,miserable,.,,,,,
pos,@,A,N,P,G,&,P,N,R,",",N,V,V,A,",",&,P,N,",",O,V,A,&,A,",",,,,,
true,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,I-ADR,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,
word,dear,lord,how,did,i,just,now,wake,up,?,thank,you,trazodone,for,ruining,my,life,.,,,,,,,,,,,,
pos,A,N,R,V,O,R,R,V,T,",",V,O,V,P,V,D,N,",",,,,,,,,,,,,
true,O,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,
word,@oscli,every,time,i,forget,seroquel,",",i,end,up,rage,breaking,things,eg-,my,laptop,*facepalm*,,,,,,,,,,,,,
pos,@,D,N,O,V,^,",",O,V,T,N,V,N,G,D,N,V,,,,,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O,O,O,O,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O,O,O,O,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,
word,i,should,just,start,taking,my,prozac,again,so,i,can,stfu,and,go,numb,and,maybe,i,won't,cry,anymore,cos,i'll,be,too,fucking,lifeless,,,
pos,O,V,R,V,V,D,N,R,R,O,V,V,&,V,A,&,R,O,V,V,R,P,L,V,R,R,A,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,B-ADR,,,
pred,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,B-ADR,O,O,O,O,B-ADR,O,O,O,O,O,O,B-ADR,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,
word,@jelizap,tried,lithium,&,depakote,been,reading,up,on,lamotrigine,it,was,suggested,but,had,such,nightmare,with,quetiapine,was,scared,to,try,,,,,,,
pos,@,V,N,&,^,V,V,T,P,^,O,V,V,&,V,A,N,P,^,V,A,P,V,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,
word,starting,humira,tomorrow,.,:,),i,wonder,if,it,will,make,me,tired,for,a,day,or,so,like,remicade,did,.,if,it,works,",",it's,worth,it
pos,V,^,N,",",E,E,O,V,P,O,V,V,O,A,P,D,N,&,R,P,O,V,",",P,O,V,",",L,A,O
true,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
word,geez,this,vyvanse,makes,me,talk,a,mile,a,minute,haha,,,,,,,,,,,,,,,,,,,
pos,!,O,N,V,O,V,D,N,D,N,!,,,,,,,,,,,,,,,,,,,
true,O,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,I-ADR,O,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,I-ADR,O,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,
word,@nanamack69,i'm,here,been,in,a,seroquel,coma,lol,,,,,,,,,,,,,,,,,,,,,
pos,@,L,R,V,P,D,^,N,!,,,,,,,,,,,,,,,,,,,,,
true,O,O,O,O,O,O,O,B-ADR,O,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,B-ADR,O,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,
word,@lithiumlibgirl,i,can,relate,to,the,olanzapine,lbs,",",but,you'll,be,great,!,,,,,,,,,,,,,,,,
pos,@,O,V,V,P,D,^,N,",",&,L,V,A,",",,,,,,,,,,,,,,,,
true,O,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,
word,@obsidianvormund,was,on,seroquel,for,years,in,my,teens,&,stopped,taking,it,.,a,'quack',doc,put,me,back,on,it,&,i,gained,50,in,3,months,.
pos,@,V,P,^,P,N,P,D,N,&,V,V,O,",",D,N,N,V,O,R,P,O,&,O,V,$,P,$,N,","
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-ADR,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
word,ooooop,.,anyone,know,if,amoxicillin,and,pregabalin,have,an,interaction,?,never,had,one,with,fluoxetine,and,losartan..,.,so,dizzy,!,,,,,,,
pos,!,",",N,V,P,N,&,V,V,D,N,",",R,V,$,P,^,&,N,",",R,A,",",,,,,,,
true,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,B-ADR,O,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,
word,@bipolar_mania,i,just,got,diagnosed,a,few,weeks,ago,with,bpd...they,put,me,on,seroquel,and,kept,me,on,zoloft,with,it,.,it,makes,me,eat,a,lot,.
pos,@,O,R,V,V,D,A,N,R,P,N,V,O,P,^,&,V,O,P,N,P,O,",",O,V,O,V,D,N,","
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
word,@holeri81,crippled,since,oct,of,'09,thanks,to,just,12,cipro,pills,here...run,for,your,life,!,tendon,rupture,is,only,the,tip,of,the,iceberg,.,,,
pos,@,A,P,^,P,$,N,P,R,$,N,N,R,P,D,N,",",N,N,V,R,D,N,P,D,N,",",,,
true,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,O,O,,,
pred,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,O,O,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,
word,i,can,feel,my,heart,starting,to,palpitate,from,vyvanse,",",red,bull,",",and,nicotine,.,that's,probably,par,for,the,course,for,finals,week,",",right,?,
pos,O,V,V,D,N,V,P,V,P,^,",",A,N,",",&,N,",",L,R,A,P,D,N,P,N,N,",",R,",",
true,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,
pred,O,O,O,O,B-ADR,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
word,@brain_opera,i,had,to,taper,myself,down,.,i,think,the,seroquel,gave,me,lasting,sleep,paralysis,.,i've,had,it,ever,since,.,,,,,,
pos,@,O,V,P,V,O,R,",",O,V,D,^,V,O,V,N,N,",",L,V,O,R,P,",",,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,O,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,O,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,
word,taking,trazodone,and,literally,passing,out,on,the,bathroom,floor,yeah,that,shit,happens,,,,,,,,,,,,,,,,
pos,V,N,&,R,V,T,P,D,N,N,!,D,N,V,,,,,,,,,,,,,,,,
true,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,
pred,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,I-ADR,I-ADR,O,O,O,O,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,
word,do,you,think,anyone,has,ever,managed,to,have,an,orgasm,while,on,xarelto,?,,,,,,,,,,,,,,,
pos,V,O,V,N,V,R,V,P,V,D,N,P,P,^,",",,,,,,,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,I-ADR,O,O,O,O,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
word,popped,a,vyvanse,i'm,tweak,.,whoop,,,,,,,,,,,,,,,,,,,,,,,
pos,V,D,N,L,N,",",!,,,,,,,,,,,,,,,,,,,,,,,
true,O,O,O,O,B-ADR,O,O,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,B-ADR,O,O,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,
word,@twistedwillow,@samambreen,apologies,if,gatecrashing,.,i,was,like,walking,dead,when,first,started,venlafaxine,",",much,better,now,dose,stable,,,,,,,,,
pos,@,@,N,P,N,",",O,V,P,V,A,R,A,V,^,",",R,R,R,N,A,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,,,,,,,,,
pred,O,O,O,O,B-ADR,O,O,O,O,I-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,
word,@tysonstown,when,i,was,on,fluoxetine,i,was,dead,from,the,waist,down,.,even,frankenstein,couldn't,have,helped..,.,,,,,,,,,,
pos,@,R,O,V,P,^,O,V,A,P,D,N,R,",",R,^,V,V,V,",",,,,,,,,,,
true,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,I-ADR,O,O,O,O,O,O,O,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,O,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,
word,08.26,day,14,rivaroxaban,diary,.,just,been,to,cut,some,wild,roses,down,so,workmen,can,easily,get,to,part,of,my,garage,.,intense,back,pain,.,
pos,$,N,$,^,N,",",R,V,P,V,D,A,N,R,P,N,V,R,V,P,N,P,D,N,",",A,N,N,",",
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,O,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,O,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
word,things,which,are,the,spawn,of,satin,:,mosquitoes,",",bananas,",",facebook,",",paxil,withdrawal,symptoms,.,#bewareofsatin,,,,,,,,,,,
pos,N,D,V,D,N,P,N,",",N,",",N,",",^,",",^,N,N,",",#,,,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,O,O,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,
word,21.55,rivaroxaban,diary,day,8,.,aches,easing,",",back,pain,easing,.,swollen,lower,legs,like,fluid,retention,.,i,take,20mg,.,furosemide,every,a.m,.,,
pos,$,^,N,N,$,",",V,V,",",R,N,V,",",A,A,N,P,N,N,",",O,V,N,",",V,D,N,",",,
true,O,O,O,O,O,O,B-ADR,O,O,B-ADR,I-ADR,O,O,B-ADR,I-ADR,I-ADR,O,B-ADR,I-ADR,O,O,O,O,O,O,O,O,O,,
pred,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,I-ADR,I-ADR,O,B-ADR,I-ADR,O,O,O,O,O,O,O,O,O,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
word,vyvanse,is,a,hell,of,a,drug,.,you,get,expensive,insomnia,!,and,you,get,expensive,insomnia,!,,,,,,,,,,,
pos,^,V,D,N,P,D,N,",",O,V,A,N,",",&,O,V,A,N,",",,,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,
word,@ripnercabbit,@pacerfox,ugh,.,my,partner,was,on,paxil,for,a,while,.,it,made,him,hide,in,the,apartment,.,:,/,,,,,,,
pos,@,@,!,",",D,N,V,P,^,P,D,N,",",O,V,O,V,P,D,N,",",~,",",,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,O,O,O,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,O,O,O,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,
word,little,did,i,know,that,i,would,go,through,withdrawals,when,coming,off,of,effexor,xr,.,#antidepressants,,,,,,,,,,,,
pos,A,N,O,V,O,O,V,V,P,N,R,V,T,P,G,G,",",#,,,,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,
word,thank,you,",",prozac,",",for,my,most,fucked,dream,to,date,,,,,,,,,,,,,,,,,,
pos,V,O,",",^,",",P,D,A,A,N,P,V,,,,,,,,,,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,B-ADR,O,O,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,B-ADR,O,O,O,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,
word,narcotic,",",benzo,",",etc,rx's,arent,the,only,meds,addictive,.,if,i,miss,a,dose,of,wellbutrin,or,effexor,",",my,hands,shake,crazy,&,i,get,brain
pos,A,",",N,",",G,UNK,V,D,A,N,A,",",P,O,V,D,N,P,N,&,N,",",D,N,V,A,&,O,V,N
true,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O,B-ADR
pred,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O,O,O,O
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
word,anemia,",",hormones,",",depression,&,paxil,are,totally,getting,the,best,of,me,this,morning,.,getting,out,of,bed,is,haaard,.,,,,,,
pos,N,",",N,",",N,&,^,V,R,V,D,A,P,O,D,N,",",V,P,P,N,V,A,",",,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,I-ADR,I-ADR,O,,,,,,
pred,B-ADR,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,O,O,O,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,
word,@whatkatie_did,i'm,certainly,weird,but,it's,quetiapine,instead,of,crack,",",i,can't,get,that,on,prescription,.,,,,,,,,,,,,
pos,@,L,R,A,&,L,A,R,P,N,",",O,V,V,O,P,N,",",,,,,,,,,,,,
true,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,
pred,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,
word,i,hate,#zoloft,because,it,makes,me,crazy,revved,up,but,i,also,hate,#lamictal,because,it,gives,me,"	,	o
	",stupid,head,"	,	o
	",.,ah,",",bipolar,i,disorder,?
pos,O,V,N,P,O,V,O,A,V,T,&,O,R,V,A,P,O,V,O,",",A,N,",",",",!,",",A,O,V,","
true,O,O,O,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,O,O
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
word,kinda,worried,about,the,nighttime,jaw,clenching,from,effexor,",",what,with,my,tongue,ring,and,all..,.,:,l,,,,,,,,,,
pos,R,A,P,D,N,N,V,P,^,",",O,P,D,N,N,&,R,",",",",G,,,,,,,,,,
true,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,
pred,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,
word,tysabri,bruises,are,the,best,http,:,//t.co/l1gpzefu5f,,,,,,,,,,,,,,,,,,,,,,
pos,^,N,V,D,A,N,",",G,,,,,,,,,,,,,,,,,,,,,,
true,O,B-ADR,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,
pred,O,B-ADR,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,
word,@inkyworld,why,i,came,off,it,.,gp,told,me,its,not,dangerous,but,it,is,damn,unpleasant,.,at,least,i,know,it's,the,quetiapine,that's,causing,it,
pos,@,R,O,V,T,O,",",N,V,O,L,R,A,&,O,V,R,A,",",P,A,O,V,L,D,N,L,V,O,
true,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,I-ADR,I-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,O,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
word,seroquel,census,:,"	,	o
	",did,we,kiss,?,"	,	o
	",(notes,i,scribble,next,to,my,bed,at,5am,",",loopy,on,anti-psychotics),,,,,,,,
pos,^,N,",",",",V,O,V,",",",",N,O,V,R,P,D,N,P,$,",",A,P,N,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,
word,the,placebo,week,of,birth,control,increases,blood,levels,of,lamictal,",",which,in,turn,makes,me,a,very,cheerful,insomniac,.,,,,,,,,
pos,D,^,N,P,N,N,V,N,N,P,^,",",D,P,V,V,O,D,R,A,N,",",,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,,,,,,,,
pred,O,O,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,
word,rt,@uffelanie,:,just,wondering,where,the,side,effect,of,hating,the,world,is,stated,on,vyvanse,advertisements,?,,,,,,,,,,,
pos,~,@,~,R,V,R,D,N,N,P,V,D,N,V,V,P,^,N,",",,,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O,O,O,O,O,O,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O,O,O,O,O,O,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,
word,ciprofloxacin,:,how,do,you,expect,to,sleep,when,your,stomach,is,a,cement,mixer,?,,,,,,,,,,,,,,
pos,N,",",R,V,O,V,P,V,R,D,N,V,D,N,N,",",,,,,,,,,,,,,,
true,O,O,O,O,O,O,O,B-ADR,O,O,B-ADR,I-ADR,I-ADR,I-ADR,I-ADR,O,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,I-ADR,I-ADR,I-ADR,I-ADR,O,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,
word,@jessindia,i,take,fluoxetine,and,quetiapine,.,the,quetiapine,is,the,one,with,the,massive,sleepies,",",althouth,the,flouxetine,doesn''t,help,.,,,,,,,
pos,@,O,V,^,&,N,",",D,^,V,D,$,P,D,A,N,",",V,D,^,V,V,",",,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,
word,@pseudodeviant,i,clock,in,at,16,stone,(added,1,stone,since,quetiapine),and,according,to,that,bmi,thing,i'm,obese,",",which,i'm,clearly,not,.,,,,
pos,@,O,V,P,P,$,N,V,$,N,P,^,&,V,P,D,^,N,L,A,",",D,L,R,R,",",,,,
true,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,
pred,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,
word,@nikkimarieeeee,lucky,bitch,i,took,vyvanse,today,as,it,makes,me,not,eat,i,just,wanna,be,able,to,wanna,eat,ugh,,,,,,,,
pos,@,A,N,O,V,^,N,P,O,V,O,R,V,O,R,V,V,A,P,V,V,!,,,,,,,,
