Sentence #	Word	NPOS	Tag	
	0	0	O
Sentence: 8	wellbutrin	NN	O
	,	,	O
	zyprexa	NN	O
	,	,	O
	xanax	NNP	O
	,	,	O
	effexor	NN	O
	,	,	O
	lamotrigine	NN	O
	,	,	O
	valium	NN	O
	.	.	O
	every	DT	O
	day	NN	O
	.	.	O
	i'm	NN	O
	not	RB	O
	even	RB	O
	a	DT	O
	person	NN	O
	anymore	RB	O
	.	.	O
	i'm	VB	O
	a	DT	O
	parody	NN	B-ADR
	of	IN	I-ADR
	an	DT	I-ADR
	actual	JJ	I-ADR
	human	NN	I-ADR
	being	VBG	I-ADR
	.	.	O
	0	0	O
Sentence: 9	i�m	NN	O
	going	VBG	O
	to	TO	O
	try	VB	B-ADR
	for	IN	I-ADR
	sleep	NN	I-ADR
	.	.	O
	real	JJ	O
	sleep	NN	O
	.	.	O
	not	RB	O
	that	IN	O
	light	JJ	B-ADR
	bastard	NN	I-ADR
	that	WDT	O
	#venlafaxine	VBP	O
	brings	IN	O
	me	PRP	O
	.	.	O
	0	0	O
Sentence: 10	cannot	NN	O
	decide	VB	O
	whether	IN	O
	to	TO	O
	take	VB	O
	meds	NNS	O
	today	NN	O
	.	.	O
	the	DT	O
	#venlafaxine	NN	O
	is	VBZ	O
	wiping	VBG	B-ADR
	me	PRP	I-ADR
	out	IN	I-ADR
	like	IN	O
	the	DT	O
	#citalopram	NN	O
	did	VBD	O
	.	.	O
	i	VB	O
	can't	JJ	B-ADR
	function	NN	I-ADR
	on	IN	O
	them	PRP	O
	.	.	O
	#day11	VB	O
	0	0	O
Sentence: 11	after	IN	O
	taking	VBG	O
	olanzapine	NN	O
	i	NNS	O
	wake	VBP	O
	up	RB	O
	and	CC	O
	feel	VB	B-ADR
	like	IN	I-ADR
	i	NN	I-ADR
	am	VBP	I-ADR
	in	IN	I-ADR
	a	DT	I-ADR
	straight	JJ	I-ADR
	jacket	NN	I-ADR
	because	IN	O
	my	PRP$	O
	muscles	NNS	B-ADR
	feel	VB	I-ADR
	stiff	JJ	I-ADR
	0	0	O
Sentence: 12	another	DT	O
	night	NN	O
	of	IN	O
	'light'	JJ	B-ADR
	sleep	NN	I-ADR
	.	.	O
	feel	VB	B-ADR
	low	JJ	I-ADR
	.	.	O
	subdued	VBN	B-ADR
	.	.	O
	sad	JJ	B-ADR
	.	.	O
	#venlafaxine	NN	O
	#day12	NN	O
	0	0	O
Sentence: 13	if	IN	O
	i	JJ	O
	become	VBP	O
	high	JJ	O
	i	NN	O
	will	MD	O
	not	RB	O
	increase	VB	O
	the	DT	O
	lamotrigine	NN	O
	as	IN	O
	this	DT	O
	will	MD	O
	fuel	VB	O
	the	DT	O
	sleep	NN	B-ADR
	problems	NNS	I-ADR
	0	0	O
Sentence: 14	tonight	NN	O
	i	NN	O
	am	VBP	O
	taking	VBG	O
	my	PRP$	O
	#venlafaxine	NN	O
	in	IN	O
	the	DT	O
	evening	NN	O
	in	IN	O
	pursuit	NN	O
	of	IN	O
	better	JJR	O
	sleep	NN	O
	and	CC	O
	less	JJR	O
	tired	JJ	B-ADR
	daytimes	NNS	I-ADR
	.	.	O
	wish	VB	O
	me	PRP	O
	luck	JJ	O
	.	.	O
	0	0	O
Sentence: 15	@joesimpson475	JJ	O
	@major___tom	NN	O
	in	IN	O
	my	PRP$	O
	humble	JJ	O
	opinion	NN	O
	the	DT	O
	only	JJ	O
	reason	NN	O
	for	IN	O
	prescribing	VBG	O
	olanzapine	NN	O
	is	VBZ	O
	sedation	NN	O
	.	.	O
	0	0	O
Sentence: 16	over-eaten	JJ	B-ADR
	again	RB	O
	just	RB	O
	before	IN	O
	bed	NN	O
	.	.	O
	stuffed	NN	O
	.	.	O
	good	JJ	O
	chance	NN	O
	i	NN	O
	will	MD	O
	choke	VB	O
	on	IN	O
	my	PRP$	O
	own	JJ	O
	vomit	NN	O
	during	IN	O
	sleep	NN	O
	.	.	O
	i	JJ	O
	blame	VBP	O
	#olanzapine	JJ	O
	#timetochange	NN	O
	#bipolar	NN	O
	0	0	O
Sentence: 17	@nevharvey	RB	O
	now	RB	O
	that	IN	O
	i'm	NN	O
	on	IN	O
	a	DT	O
	hefty	JJ	O
	dose	NN	O
	of	IN	O
	quetiapine	NN	O
	i	NN	O
	usually	RB	O
	sleep	VBP	O
	no	DT	O
	problem	NN	O
	.	.	O
	yet	CC	O
	the	DT	O
	anxiety	NN	O
	remains	VBZ	O
	.	.	O
	a	DT	O
	hangover	NN	O
	from	IN	O
	the	DT	O
	days	NNS	O
	when..	VBP	O
	.	.	O
	0	0	O
Sentence: 18	ooooop	NN	O
	.	.	O
	anyone	NN	O
	know	VBP	O
	if	IN	O
	amoxicillin	NNS	O
	and	CC	O
	pregabalin	NN	O
	have	VBP	O
	an	DT	O
	interaction	NN	B-ADR
	?	.	O
	never	RB	O
	had	VBD	O
	one	CD	O
	with	IN	O
	fluoxetine	NN	O
	and	CC	O
	losartan..	NN	O
	.	.	O
	so	RB	O
	dizzy	JJ	B-ADR
	!	.	O
	0	0	O
Sentence: 19	husband	NN	O
	said	VBD	O
	i	NN	O
	was	VBD	O
	a	DT	O
	little	JJ	O
	'high'	JJ	O
	tonight	NN	O
	so	RB	O
	encouraged	VBD	O
	me	PRP	O
	to	TO	O
	take	VB	O
	7.5mg	CD	O
	of	IN	O
	olanzapine	NN	O
	.	.	O
	now	RB	O
	feel	VBP	O
	really	RB	O
	really	RB	O
	really	RB	O
	sleepy	JJ	B-ADR
	,	,	O
	zzzz...	NN	O
	.	.	O
	0	0	O
Sentence: 20	@ital_livity	NN	O
	not	RB	O
	getting	VBG	O
	any	DT	O
	better	JJR	O
	here	RB	O
	so	RB	O
	dragging	VBG	O
	myself	PRP	O
	to	TO	O
	gp	VB	O
	.	.	O
	i'd	VB	O
	rather	RB	O
	be	VB	O
	mad	JJ	O
	than	IN	O
	comatose	JJ	B-ADR
	!	.	O
	hope	NN	O
	ur	IN	O
	doing	VBG	O
	ok	JJ	O
	#quetiapine	NN	O
	0	0	O
Sentence: 21	@any1mouse	NN	O
	jus	NN	O
	gt	NN	O
	bck	NN	O
	myself	PRP	O
	,	,	O
	hes	VBZ	O
	put	VBN	O
	me	PRP	O
	on	IN	O
	citalopram	NN	O
	in	IN	O
	addition	NN	O
	2	CD	O
	the	DT	O
	quetiapine	NN	O
	!	.	O
	im	VB	O
	a	DT	O
	bit	NN	O
	worried	JJ	O
	as	IN	O
	citalopram	NN	O
	has	VBZ	O
	made	VBN	O
	me	PRP	O
	manic	JJ	B-ADR
	before	IN	O
	0	0	O
Sentence: 22	stop	NN	O
	taking	VBG	O
	trazodone	NN	O
	and	CC	O
	call	VB	O
	your	PRP$	O
	doctor	NN	O
	at	IN	O
	once	RB	O
	if	IN	O
	you	PRP	O
	have	VBP	O
	a	DT	O
	penis	NN	O
	erection	NN	O
	that	WDT	O
	is	VBZ	O
	painful	JJ	O
	or	CC	O
	lasts	VBZ	O
	6	CD	O
	hours	NNS	O
	or	CC	O
	longer.my	JJ	O
	sleeping	NN	O
	pills	NNS	O
	0	0	O
Sentence: 23	rp	NN	O
	mcmurphy	NN	O
	was	VBD	O
	right	JJ	O
	about	IN	O
	the	DT	O
	trazodone	NN	O
	being	VBG	O
	my	PRP$	O
	new	JJ	O
	favorite	JJ	O
	bed-buddy	NN	O
	.	.	O
	rip	NN	O
	,	,	O
	melatonin	JJ	O
	dreams	NNS	B-ADR
	.	.	O
	you	PRP	O
	were	VBD	O
	getting	VBG	O
	too	RB	O
	weird	JJ	O
	-	:	O
	even	RB	O
	for	IN	O
	me	PRP	O
	.	.	O
	0	0	O
Sentence: 24	tearful	NN	B-ADR
	this	DT	O
	morning	NN	O
	.	.	O
	desperately	RB	O
	poor	JJ	B-ADR
	nights	NNS	I-ADR
	sleep	VBP	I-ADR
	.	.	O
	utterly	RB	O
	fucked	VBD	O
	up	RP	O
	by	IN	O
	withdrawing	VBG	B-ADR
	so	RB	O
	quickly	RB	O
	from	IN	O
	lamotrigine	NN	O
	0	0	O
Sentence: 25	joints	NNS	B-ADR
	killing	VBG	I-ADR
	me	PRP	I-ADR
	now	RB	O
	i	VBP	O
	have	VBP	O
	gone	VBN	O
	back	RB	O
	up	RB	O
	on	IN	O
	the	DT	O
	lamotrigine	NN	O
	.	.	O
	sick	NN	O
	of	IN	O
	side	NN	O
	effects	NNS	O
	.	.	O
	sick	NN	O
	of	IN	O
	meds	NNS	O
	.	.	O
	want	VB	O
	my	PRP$	O
	own	JJ	O
	self	NN	O
	back	RB	O
	.	.	O
	knackered	VBN	B-ADR
	today	NN	O
	0	0	O
Sentence: 26	me	PRP	O
	:	:	O
	how	WRB	O
	is	VBZ	O
	your	PRP$	O
	depression	NN	O
	now	RB	O
	that	IN	O
	you�re	NN	O
	on	IN	O
	fluoxetine	NN	O
	?	.	O
	pt	NN	O
	:	:	O
	i	NN	O
	don�t	NNS	O
	have	VBP	O
	depression	NN	O
	.	.	O
	i	NN	O
	have	VBP	O
	fibromyalgia	VBN	O
	.	.	O
	me	PRP	O
	:	:	O
	&lt;sigh&gt;	NN	O
	0	0	O
Sentence: 27	me	PRP	O
	:	:	O
	why	WRB	O
	have	VBP	O
	i	VBN	O
	been	VBN	O
	sectioned	VBN	O
	,	,	O
	what	WP	O
	psychotic	JJ	O
	symptoms	NNS	O
	do	VBP	O
	i	NNS	O
	have	VB	O
	?	.	O
	psychiatrist	NN	O
	:	:	O
	dancing	NN	O
	.	.	O
	i	VB	O
	am	VBP	O
	now	RB	O
	addicted	VBN	B-ADR
	to	TO	O
	the	DT	O
	antipsychotic	JJ	O
	olanzapine	NN	O
	0	0	O
Sentence: 28	@bella_astre	JJ	O
	@mrs_kittyo	NNP	O
	i've	NN	O
	had	VBD	O
	chronic	JJ	O
	insomnia	NN	O
	for	IN	O
	as	RB	O
	long	JJ	O
	as	IN	O
	i	NN	O
	can	MD	O
	remember	VB	O
	because	IN	O
	my	PRP$	O
	brain	NN	O
	won't	NN	O
	shut	VBD	O
	up	RP	O
	.	.	O
	low	JJ	O
	dose	NN	O
	of	IN	O
	quetiapine..	NN	O
	.	.	O
	0	0	O
Sentence: 29	coming	VBG	B-ADR
	off	RP	I-ADR
	#quetiapine	NN	O
	is	VBZ	O
	harder	JJR	O
	than	IN	O
	u	JJ	O
	think	NN	O
	.	.	O
	nausea	CC	B-ADR
	sickness	JJ	I-ADR
	hot	JJ	I-ADR
	and	CC	I-ADR
	cold	JJ	I-ADR
	shivers	NNS	I-ADR
	twitching	VBG	I-ADR
	headache	NN	I-ADR
	#bipolar	JJ	O
	#mentalhealth	NN	O
	#medication	NN	O
	0	0	O
Sentence: 30	@ecrjones	NNS	O
	attempts	NNS	O
	at	IN	O
	lamotrigine	NN	O
	withdrawal	NN	B-ADR
	,	,	O
	commuting	VBG	O
	by	IN	O
	train	NN	O
	every	DT	O
	day	NN	O
	and	CC	O
	being	VBG	O
	back	RB	O
	at	IN	O
	work	NN	O
	in	IN	O
	a	DT	O
	new	JJ	O
	role	NN	O
	0	0	O
Sentence: 31	debating	VBG	O
	on	IN	O
	taking	VBG	O
	a	DT	O
	trazodone	NN	O
	and	CC	O
	literally	RB	O
	passing	VBG	B-ADR
	out	RP	I-ADR
	for	IN	O
	the	DT	O
	day	NN	O
	.	.	O
	0	0	O
Sentence: 32	rt	NN	O
	@jeremyvvw	NN	O
	:	:	O
	there	EX	O
	are	VBP	O
	other	JJ	O
	drugs	NNS	O
	in	IN	O
	development	NN	O
	.	.	O
	large	JJ	O
	randomized	VBD	O
	study	NN	O
	of	IN	O
	memantine	NN	O
	under	IN	O
	way	NN	O
	for	IN	O
	core	NN	O
	symptoms	NNS	O
	.	.	O
	#autismchat	WP	O
	0	0	O
Sentence: 33	round	NN	O
	2	CD	O
	trazodone	NN	O
	.	.	O
	please	VB	O
	just	RB	O
	put	VB	O
	me	PRP	O
	to	TO	O
	sleep	VB	O
	,	,	O
	not	RB	O
	make	VB	O
	me	PRP	O
	into	IN	O
	a	DT	O
	zombie	NN	B-ADR
	the	DT	O
	whole	JJ	O
	next	JJ	O
	day	NN	O
	.	.	O
	0	0	O
Sentence: 34	@elizabethaf	MD	O
	not	RB	O
	addictive	VB	B-ADR
	?	.	O
	'ssri	CD	O
	discontinuation	NN	B-ADR
	syndrome.'	NN	I-ADR
	i	NN	O
	know	VBP	O
	someone	NN	O
	who	WP	O
	has	VBZ	O
	been	VBN	O
	trying	VBG	O
	to	TO	O
	come	VB	O
	off	RP	O
	venlafaxine	NN	O
	for	IN	O
	over	IN	O
	two	CD	O
	years	NNS	O
	&gt;	VBP	O
	0	0	O
Sentence: 35	is	VBZ	O
	anyone	NN	O
	on	IN	O
	an	DT	O
	antipsychotic	JJ	O
	they	PRP	O
	can	MD	O
	actually	RB	O
	tolerate	VB	O
	?	.	O
	i	NN	O
	can	MD	O
	tolerate	VB	O
	a	DT	O
	low	JJ	O
	dose	NN	O
	of	IN	O
	olanzapine	NN	O
	7.5mg	CD	O
	0	0	O
Sentence: 36	its	PRP$	O
	funny	JJ	O
	how	WRB	O
	just	RB	O
	one	CD	O
	cut	NN	O
	could	MD	O
	make	VB	O
	you	PRP	O
	feel	VB	O
	more	RBR	O
	better	RBR	O
	an	DT	O
	entire	JJ	O
	bottle	NN	O
	of	IN	O
	prozac/fluoxetine	NN	O
	0	0	O
Sentence: 37	#trazodone	NN	O
	is	VBZ	O
	one	CD	O
	hell	NN	O
	of	IN	O
	a	DT	O
	sleeping	NN	O
	pill	NN	O
	.	.	O
	it	PRP	O
	also	RB	O
	makes	VBZ	O
	you	PRP	O
	feel	VB	O
	incredibly	RB	O
	high	JJ	B-ADR
	.	.	O
	0	0	O
Sentence: 38	i	JJ	O
	feel	VBP	B-ADR
	like	IN	I-ADR
	a	DT	I-ADR
	pile	NN	I-ADR
	of	IN	I-ADR
	shit	JJ	I-ADR
	#sick	NNP	I-ADR
	#cold	NNP	I-ADR
	#stomach	NNP	I-ADR
	reacting	VBG	I-ADR
	to	TO	O
	some	DT	O
	antibiotics	NNS	O
	.	.	O
	i	NN	O
	will	MD	O
	never	RB	O
	again	RB	O
	take	VBP	O
	#ciprofloxacin	NN	O
	0	0	O
Sentence: 39	slept	NN	B-ADR
	!	.	O
	really	RB	O
	slept	JJ	O
	!	.	O
	i	JJ	O
	think	VBP	O
	i	NNS	O
	can	MD	O
	assume	VB	O
	from	IN	O
	that	IN	O
	that	IN	O
	the	DT	O
	venlafaxine	NN	O
	is	VBZ	O
	now	RB	O
	nearly	RB	O
	out	IN	O
	of	IN	O
	my	PRP$	O
	system	NN	O
	:	:	O
	))	NN	O
	0	0	O
Sentence: 40	@seefisch	NN	O
	:	:	O
	oral	JJ	O
	drugs	NNS	O
	for	IN	O
	pyelonephritis	NN	O
	:	:	O
	ciprofloxacin	NN	O
	levofloxacin	NN	O
	tmp/smz	NN	O
	do	VBP	O
	not	RB	O
	use	VB	O
	nitrofurantoin	NN	O
	for	IN	O
	pyelo(only	RB	O
	cystitis)@david_medinaf	NN	O
	0	0	O
Sentence: 41	@spicynyx	NN	O
	i	NN	O
	think	VBP	O
	i'm	NN	O
	that	WDT	O
	too	RB	O
	!	.	O
	had	VBD	O
	rare	JJ	O
	breastmilk	NN	B-ADR
	production	NN	I-ADR
	on	IN	O
	quetiapine	NN	O
	,	,	O
	ultra	JJ	O
	rare	JJ	O
	hallucinations	NNS	B-ADR
	(not	VBP	O
	psychosis)	VB	O
	on	IN	O
	valproate	NN	O
	.	.	O
	0	0	O
Sentence: 42	@thejeremyvine	NN	O
	i	NN	O
	once	RB	O
	had	VBD	O
	an	DT	O
	allergic	JJ	B-ADR
	reaction	NN	I-ADR
	to	TO	O
	the	DT	O
	anti-convulsant	JJ	O
	lamotrigine	NN	O
	.	.	O
	i	NN	O
	got	VBD	O
	a	DT	O
	rash	NN	B-ADR
	all	DT	O
	over	IN	O
	my	PRP$	O
	body	NN	O
	that	IN	O
	looked	VBD	O
	like	IN	O
	burns	NNS	O
	.	.	O
	0	0	O
Sentence: 43	morning	NN	O
	fluoxetine	NN	O
	burp	NN	B-ADR
	makes	VBZ	O
	me	PRP	O
	want	VB	B-ADR
	to	TO	I-ADR
	ralph	VB	I-ADR
	.	.	O
	0	0	O
Sentence: 44	i	NNS	O
	love	VBP	O
	when	WRB	O
	my	PRP$	O
	#trazodone	NN	O
	kicks	NNS	O
	in	IN	O
	after	IN	O
	i've	NN	O
	forgotten	VBN	O
	i've	VBP	O
	taken	VBN	O
	it	PRP	O
	.	.	O
	groggy	JJ	B-ADR
	tweets	NNS	O
	commence	NN	O
	.	.	O
	0	0	O
Sentence: 45	please	NN	O
	be	VB	O
	careful	JJ	O
	when	WRB	O
	withdrawing	VBG	B-ADR
	from	IN	O
	any	DT	O
	anti	JJ	O
	deps	NNS	O
	,	,	O
	benzos	NN	O
	and/or	NN	O
	hypnotics	NNS	O
	.	.	O
	venlafaxine	NN	O
	was	VBD	O
	a	DT	O
	bad	JJ	O
	choice	NN	O
	for	IN	O
	me	PRP	O
	and	CC	O
	worse	JJR	O
	withdrawl	NN	O
	.	.	O
	0	0	O
Sentence: 46	@ftamalenus	NN	O
	i	JJ	O
	keep	VBP	O
	telling	VBG	O
	myself	PRP	O
	8	CD	O
	am	VBP	O
	,	,	O
	but	CC	O
	i	RB	O
	think	VBP	O
	the	DT	O
	trazodone	NN	O
	fucks	VBZ	O
	it	PRP	O
	up	RP	O
	.	.	O
	:	:	O
	(	(	O
	it	PRP	O
	knocks	VBZ	B-ADR
	me	PRP	I-ADR
	right	JJ	I-ADR
	out	IN	I-ADR
	and	CC	O
	won't	VB	B-ADR
	let	VB	I-ADR
	me	PRP	I-ADR
	wake	VB	I-ADR
	up	RP	I-ADR
	.	.	O
	0	0	O
Sentence: 47	happy	JJ	O
	for	IN	O
	wellbutrin;	NN	O
	has	VBZ	O
	similar	JJ	O
	effects	NNS	O
	as	IN	O
	adderall.	NN	O
	.	.	O
	trazodone	NN	O
	is	VBZ	O
	super	JJ	O
	promising	VBG	O
	for	IN	O
	sleep.	NN	O
	.	.	O
	but	CC	O
	abilify	VBP	O
	can	MD	O
	cause	VB	O
	weight	JJ	O
	gain	NN	O
	-_-	NN	O
	0	0	O
Sentence: 48	can't	NN	O
	sleep	NN	O
	,	,	O
	but	CC	O
	i'm	NN	O
	afraid	VBP	O
	that	IN	O
	the	DT	O
	muscle	NN	B-ADR
	tremors	NNS	I-ADR
	keep	VB	O
	me	PRP	O
	awake	VB	O
	even	RB	O
	worse	JJR	O
	if	IN	O
	i	JJ	O
	take	VBP	O
	promethazine	NN	O
	in	IN	O
	combination	NN	B-ADR
	with	IN	O
	fluoxetine..	NN	O
	.	.	O
	0	0	O
Sentence: 49	little	JJ	O
	did	VBD	O
	i	VB	O
	know	VBP	O
	that	IN	O
	i	NN	O
	would	MD	O
	go	VB	O
	through	IN	O
	withdrawals	NNS	B-ADR
	when	WRB	O
	coming	VBG	O
	off	RB	O
	of	IN	O
	effexor	JJ	O
	xr	NNP	O
	.	.	O
	#antidepressants	NNS	O
	0	0	O
Sentence: 50	@jessieeclayton	NNS	O
	take	VBP	O
	paxil	NN	O
	then	RB	O
	.	.	O
	no	DT	O
	anxiety	NN	O
	just	RB	O
	happiness	NN	O
	.	.	O
	but	CC	O
	you	PRP	O
	et	VBP	O
	withdraws	VB	B-ADR
	if	IN	O
	you	PRP	O
	forget	VBP	O
	to	TO	O
	take	VB	O
	it	PRP	O
	.	.	O
	0	0	O
Sentence: 51	@spooniescouch	JJ	O
	@joodamsmith	NNP	O
	@seal_kim	NNP	O
	@sapril880	NNP	O
	ant	JJ	O
	take	NN	O
	anti	NN	O
	seizure	NN	O
	meds	NNS	O
	or	CC	O
	anti	JJ	O
	depressants	NNS	O
	and	CC	O
	cymbalta	NN	O
	and	CC	O
	savella	NN	O
	made	VBD	O
	me	PRP	O
	very	RB	O
	sick	JJ	B-ADR
	:	:	O
	(	(	O
	0	0	O
Sentence: 52	i	NN	O
	reaaaallly	RB	O
	need	VBP	O
	to	TO	O
	take	VB	O
	my	PRP$	O
	paxil	NN	O
	but	CC	O
	it	PRP	O
	makes	VBZ	O
	me	PRP	O
	feel	VB	O
	so	RB	O
	delirious	JJ	B-ADR
	and	CC	O
	just	RB	O
	messed	VBN	B-ADR
	up	RP	I-ADR
	.	.	O
	0	0	O
Sentence: 53	@edaemus	JJ	O
	@waynehatesfruit	NN	O
	oh	NN	O
	that	WDT	O
	was	VBD	O
	only	RB	O
	last	JJ	O
	night	NN	O
	when	WRB	O
	i	NN	O
	was	VBD	O
	delirious	JJ	B-ADR
	on	IN	O
	quetiapine	JJ	O
	-	:	O
	you	PRP	O
	took	VBD	O
	advantage	NN	O
	of	IN	O
	the	DT	O
	situation	NN	O
	.	.	O
	0	0	O
Sentence: 54	@stilgarg	JJ	O
	i'm	NN	O
	ok	NN	O
	ty	NN	O
	have	VBP	O
	an	DT	O
	official	JJ	O
	diagnosis	NN	O
	of	IN	O
	bipolar	NN	O
	now	RB	O
	,	,	O
	feeling	VBG	O
	ok	NN	O
	at	IN	O
	the	DT	O
	moment	NN	O
	lamotrigine	NN	O
	has	VBZ	O
	been	VBN	O
	increased	VBN	O
	having	VBG	O
	monotherapy	NN	O
	:	:	O
	/	NN	O
	0	0	O
Sentence: 55	i'd	NN	O
	rather	RB	O
	be	VB	O
	on	IN	O
	the	DT	O
	effexor	NN	O
	that	WDT	O
	made	VBD	O
	me	PRP	O
	happy	JJ	O
	though	IN	O
	i	NN	O
	had	VBD	O
	severe	VBN	O
	back	RB	B-ADR
	pain	NN	I-ADR
	from	IN	O
	it.	NN	O
	.	.	O
	than	IN	O
	sad	JJ	B-ADR
	and	CC	O
	crying	VBG	B-ADR
	for	IN	I-ADR
	no	DT	I-ADR
	reason	NN	I-ADR
	on	IN	O
	lexapro...	NN	O
	.	.	O
	0	0	O
Sentence: 56	@sarapekow	NNS	O
	need	VBP	O
	to	TO	O
	switch	VB	O
	bc	NN	O
	def	NN	O
	allergic	NN	B-ADR
	to	TO	O
	cymbalta	VB	O
	:	:	O
	(	(	O
	0	0	O
Sentence: 57	why	WRB	O
	seroquel	NN	O
	can	MD	O
	make	VB	O
	me	PRP	O
	put	VB	B-ADR
	on	IN	I-ADR
	20	CD	I-ADR
	over	IN	I-ADR
	kg	NN	I-ADR
	:	:	O
	it	PRP	O
	acts	VBZ	O
	like	IN	O
	an	DT	O
	insulin	NN	B-ADR
	blocker	NN	I-ADR
	or	CC	O
	something	NN	O
	.	.	O
	0	0	O
Sentence: 58	has	VBZ	O
	anyone	NN	O
	ever	RB	O
	had	VBD	O
	to	TO	O
	take	VB	O
	avelox	NN	O
	?	.	O
	i	NNS	O
	need	VBP	O
	some	DT	O
	tricks	NNS	O
	to	TO	O
	curb	VB	O
	the	DT	O
	nausea	NN	B-ADR
	and	CC	O
	help	VB	O
	me	PRP	O
	with	IN	O
	the	DT	O
	hypotension	NN	B-ADR
	.	.	O
	#avelox	CC	O
	#antibiotic	JJ	O
	#evil	NN	O
	0	0	O
Sentence: 59	i'm	NN	O
	soo	NN	O
	depressed	VBD	O
	cymbalta	NN	O
	couldn't	NN	O
	help	VB	O
	me	PRP	O
	.	.	O
	0	0	O
Sentence: 60	@crimefish	JJ	O
	bum	NN	O
	.	.	O
	i	NN	O
	was	VBD	O
	worried	VBN	O
	about	IN	O
	mania	NN	O
	on	IN	O
	them	PRP	O
	,	,	O
	but	CC	O
	i	RB	O
	think	VBP	O
	the	DT	O
	biffiness	NN	B-ADR
	is	VBZ	O
	going	VBG	O
	to	TO	O
	be	VB	O
	worse	JJR	O
	,	,	O
	especially	RB	O
	coupled	VBN	O
	with	IN	O
	quetiapine	NN	O
	.	.	O
	0	0	O
Sentence: 61	i	JJ	O
	can't	VBP	O
	decide	VB	O
	if	IN	O
	i	JJ	O
	should	MD	O
	watch	VB	O
	mind-numbing	NN	O
	reality	NN	O
	tv	NN	O
	on	IN	O
	netflix	NN	O
	or	CC	O
	abuse	VB	O
	my	PRP$	O
	prescription	NN	O
	for	IN	O
	trazodone	NN	O
	and	CC	O
	sleep	NN	B-ADR
	for	IN	I-ADR
	fifteen	JJ	I-ADR
	hours	NNS	I-ADR
	0	0	O
Sentence: 62	narcotic	JJ	O
	,	,	O
	benzo	NN	O
	,	,	O
	etc	FW	O
	rx's	FW	O
	arent	NN	O
	the	DT	O
	only	JJ	O
	meds	NNS	O
	addictive	VBP	B-ADR
	.	.	O
	if	IN	O
	i	JJ	O
	miss	VBP	O
	a	DT	O
	dose	NN	O
	of	IN	O
	wellbutrin	NN	O
	or	CC	O
	effexor	NN	O
	,	,	O
	my	PRP$	O
	hands	NNS	B-ADR
	shake	VBP	I-ADR
	crazy	JJ	O
	&	CC	O
	i	JJ	O
