Sentence #	Word	POS	NPOS	Tag	
	you	O	PRP	O
	being	V	VBG	O
	a	D	DT	O
	smart-ass	A	NN	O
	?	,	.	O
	dont	V	JJ	O
	mess	V	NN	O
	with	P	IN	O
	me	O	PRP	O
	right	R	RB	O
	now	R	RB	O
	.	,	.	O
	going	V	VBG	O
	through	P	IN	O
	cymbalta	^	NN	O
	withdrawal	N	NN	B-ADR
	i	O	NN	O
	think	V	VBP	O
	&	&	CC	O
	im	L	VBP	O
	very	R	RB	O
	depressed	A	JJ	O
	.	,	.	O
	0	0	0	O
Sentence: 14	today	N	NN	O
	i'm	L	VBP	O
	an	D	DT	O
	emotional	A	JJ	B-ADR
	mess	N	NN	I-ADR
	.	,	.	O
	that's	L	VB	O
	what	O	WP	O
	happens	V	VBZ	O
	when	R	WRB	O
	i	O	JJ	O
	think	V	VBP	O
	i	O	NN	O
	could	V	MD	O
	wean	V	VB	O
	myself	O	PRP	O
	off	P	IN	O
	of	P	IN	O
	cymbalta	N	NN	O
	.	,	.	O
	0	0	0	O
Sentence: 15	losing	V	VBG	O
	it	O	PRP	O
	.	,	.	O
	could	V	MD	O
	not	R	RB	B-ADR
	remember	V	VB	I-ADR
	the	D	DT	O
	word	N	NN	O
	power	N	NN	O
	strip	N	NN	O
	.	,	.	O
	wonder	V	VB	O
	which	D	WDT	O
	drug	N	NN	O
	is	V	VBZ	O
	doing	V	VBG	O
	this	D	DT	O
	memory	N	NN	B-ADR
	lapse	N	JJ	I-ADR
	thing	N	NN	O
	.	,	.	O
	my	D	PRP$	O
	guess	V	NN	O
	the	D	DT	O
	cymbalta	N	NN	O
	.	,	.	O
	#helps	V	VB	O
	0	0	0	O
Sentence: 16	that	D	DT	O
	nap	N	NN	B-ADR
	was	V	VBD	O
	on	P	IN	O
	point...	N	NN	O
	.	,	.	O
	cymbalta	N	NN	O
	did	V	VBD	O
	that	D	IN	O
	shit	N	NN	O
	cuz	P	NN	O
	i	O	JJ	O
	dont	V	VBP	O
	take	V	VB	O
	naps...ever	N	NN	O
	0	0	0	O
Sentence: 17	@andiedanley2626	@	JJ	O
	cymbalta	N	NN	O
	.	,	.	O
	3x	P	CD	O
	the	D	DT	O
	dosage	N	NN	O
	i	O	NN	O
	was	V	VBD	O
	once	R	RB	O
	on...everything	P	JJ	O
	is	V	VBZ	O
	psychedelic	A	JJ	B-ADR
	and	&	CC	O
	yuck	!	NN	O
	.	,	.	O
	still	R	RB	O
	grateful	A	JJ	O
	for	P	IN	O
	meds	N	NNS	O
	!	,	.	O
	0	0	0	O
Sentence: 18	@santypas	@	JJ	O
	@scrabalisios	@	NNS	O
	i'm	L	VBP	O
	taking	V	VBG	O
	700mg	N	CD	O
	pregablin	N	NN	O
	and	&	CC	O
	60	$	CD	O
	mg	N	NNS	O
	duloxetine	N	JJ	O
	hence	R	NN	O
	why	R	WRB	O
	i'm	L	NN	O
	totally	R	RB	O
	mashed	A	VBD	B-ADR
	0	0	0	O
Sentence: 19	@autumnuh_beee	@	NN	O
	i	O	NN	O
	was	V	VBD	O
	on	P	IN	O
	celexa	N	NN	O
	,	,	,	O
	which	D	WDT	O
	made	V	VBD	O
	me	O	PRP	O
	sleepy	A	NN	O
	.	,	.	O
	i	O	VB	O
	switched	V	VBD	O
	to	P	TO	O
	effexor	G	VB	O
	.	,	.	O
	it	O	PRP	O
	has	V	VBZ	O
	norepinephrine	^	VBN	O
	in	P	IN	O
	it	O	PRP	O
	,	,	,	O
	so	P	IN	O
	it	O	PRP	O
	jump	V	NN	O
	starts	V	VBZ	O
	me	O	PRP	O
	in	P	IN	O
	the	D	DT	O
	mornin	N	NN	O
	0	0	0	O
Sentence: 20	i	O	NN	O
	feel	V	VBP	O
	so	P	RB	O
	pill-ill	N	JJ	O
	again	R	RB	O
	-	,	:	O
	decided	V	VBD	O
	to	P	TO	O
	seriously	R	RB	O
	cut	V	VB	O
	down	T	RP	O
	to	P	TO	O
	just	R	RB	O
	weekly	A	VB	O
	enbrel	N	NN	O
	and	&	CC	O
	metho	V	JJ	O
	alongside	P	JJ	O
	daily	A	JJ	O
	nsaids	N	NNS	O
	#rheum	N	NN	O
	.	,	.	O
	0	0	0	O
Sentence: 21	rt	~	NN	O
	@dratp	@	NN	O
	:	~	:	O
	@lisabinkc	@	JJ	O
	@trainingwithra	@	NN	O
	@dsymons	@	NNS	O
	enbrel	R	VBP	O
	also	R	RB	O
	available	A	JJ	O
	as	P	IN	O
	prefilled	A	JJ	O
	syringe	N	NN	O
	,	,	,	O
	much	R	JJ	O
	gentler	A	NN	O
	.	,	.	O
	pen	N	JJ	O
	leaves	V	VBZ	O
	bruises	N	NNS	O
	!	,	.	O
	#rheum	#	NN	O
	0	0	0	O
Sentence: 22	note	N	NN	O
	to	P	TO	O
	self	N	VB	O
	:	,	:	O
	do	V	VB	O
	not	R	RB	O
	take	V	VB	O
	#fluoxetine	^	NN	O
	and	&	CC	O
	#aleved	V	VBN	O
	together	R	RB	O
	.	,	.	O
	i'm	L	VB	O
	a	D	DT	O
	space	N	NN	B-ADR
	cadet	N	NN	I-ADR
	today	N	NN	O
	!	,	.	O
	#druginteractions	#	NNS	O
	0	0	0	O
Sentence: 23	i'm	L	JJ	O
	sure	A	NN	O
	this	D	DT	O
	fluoxetine	N	NN	O
	is	V	VBZ	O
	making	V	VBG	O
	my	D	PRP$	O
	illness	N	JJ	B-ADR
	worse	A	NN	I-ADR
	,	,	,	O
	especially	R	RB	O
	since	P	IN	O
	i	O	NN	O
	can't	V	VBP	B-ADR
	eat.	V	NN	I-ADR
	.	,	.	O
	0	0	0	O
Sentence: 24	i	O	NNS	O
	have	V	VBP	O
	some	D	DT	O
	seriously	R	RB	O
	disturbing	A	JJ	O
	dreams	N	NNS	O
	.	,	.	O
	thanks	N	NNS	O
	#fluoxetine	#	VBP	O
	thanks	N	NNS	O
	a	D	DT	O
	freaking	A	NN	O
	lot	N	NN	O
	.	,	.	O
	well	!	RB	O
	i	O	JJ	O
	guess	V	NN	O
	it's	L	NN	O
	better	A	RBR	O
	than	P	IN	O
	being	V	VBG	O
	#suicidal	A	JJ	O
	..only	R	RB	O
	just	R	RB	O
	0	0	0	O
Sentence: 25	rt	~	NN	O
	@ianibbo	@	NN	O
	:	~	:	O
	finding	V	VBG	O
	out	T	RP	O
	i'm	L	JJ	O
	allergic	A	NN	B-ADR
	to	P	TO	O
	fluoxetine	^	VB	O
	was	V	VBD	O
	a	D	DT	O
	bit	N	NN	O
	of	P	IN	O
	a	D	DT	O
	shock	N	NN	O
	tho	R	NN	O
	.	,	.	O
	mind	N	NN	O
	,	,	,	O
	only	R	RB	O
	someone	N	NN	O
	from	P	IN	O
	yorkshire	^	NN	O
	could	V	MD	O
	be	V	VB	O
	actually	R	RB	O
	allergic	A	JJ	O
	�	,	NN	O
	0	0	0	O
Sentence: 26	i	O	NN	O
	took	V	VBD	O
	11	$	CD	O
	pills	N	NNS	O
	of	P	IN	O
	geodon	^	NN	O
	i	O	NN	O
	was	V	VBD	O
	rushed	V	VBN	O
	to	P	TO	O
	the	D	DT	O
	hospital	N	NN	O
	they	O	PRP	O
	had	V	VBD	O
	to	P	TO	O
	stick	V	VB	O
	a	D	DT	O
	tube	N	NN	O
	up	P	RP	O
	my	D	PRP$	O
	nose	N	JJ	O
	ugh	!	JJ	O
	never	R	RB	O
	again	R	RB	O
	i	O	JJ	O
	feel	V	VBP	O
	so	R	RB	O
	bad	A	JJ	O
	today	N	NN	O
	withdrawals	N	NNS	B-ADR
	.	,	.	O
	0	0	0	O
Sentence: 27	so	P	RB	O
	the	D	DT	O
	geodon	^	NN	O
	is	V	VBZ	O
	what	O	WP	O
	made	V	VBD	O
	me	O	PRP	O
	so	R	IN	O
	frickin	R	JJ	O
	hungry	A	NN	B-ADR
	all	X	PDT	O
	the	D	DT	O
	time	N	NN	O
	cause	P	NN	O
	i've	L	NN	O
	eaten	V	VBN	O
	very	R	RB	O
	little	A	JJ	O
	these	D	DT	O
	past	A	IN	O
	few	A	JJ	O
	days	N	NNS	O
	.	,	.	O
	0	0	0	O
Sentence: 28	will	V	MD	O
	still	R	RB	O
	be	V	VB	O
	on	P	IN	O
	the	D	DT	O
	geodon	^	NN	O
	,	,	,	O
	but	&	CC	O
	will	V	MD	O
	also	R	RB	O
	be	V	VB	O
	taking	V	VBG	O
	a	D	DT	O
	low-dose	A	JJ	O
	alprazolam	N	NN	O
	as	P	IN	O
	needed	V	VBN	O
	for	P	IN	O
	the	D	DT	O
	sudden	N	JJ	O
	anxiety	N	NN	O
	attacks	V	NNS	O
	ive	L	VBP	O
	been	V	VBN	O
	getting	V	VBG	O
	0	0	0	O
Sentence: 29	@crohnietweets	@	NNS	O
	i	O	VBP	O
	found	V	VBD	O
	the	D	DT	O
	humira	^	NN	O
	to	P	TO	O
	fix	V	VB	O
	all	D	DT	O
	my	D	PRP$	O
	crohn's	S	NN	O
	issues	N	NNS	O
	,	,	,	O
	but	&	CC	O
	cause	R	VBP	O
	other	A	JJ	O
	issues	N	NNS	O
	.	,	.	O
	i	O	VB	O
	went	V	VBD	O
	off	T	IN	O
	it	O	PRP	O
	due	A	JJ	O
	to	P	TO	O
	issues	V	NNS	O
	w	P	VB	O
	nerves/muscle	N	NN	B-ADR
	spasms	V	NNS	I-ADR
	0	0	0	O
Sentence: 30	@showbizmom48	@	NN	O
	mri	N	NN	O
	showed	V	VBD	O
	lesions	N	NNS	O
	in	P	IN	O
	my	D	PRP$	O
	noggin	N	NN	O
	:	,	:	O
	s	G	NN	O
	got	V	VBD	O
	to	P	TO	O
	have	V	VB	O
	eeg	N	VBN	O
	to	P	TO	O
	see	V	VB	O
	if	P	IN	O
	its	L	PRP$	O
	ms	^	NN	O
	or	&	CC	O
	humira	^	NN	O
	doing	V	VBG	O
	it.so	U	RB	O
	more	A	RBR	O
	tests	N	NNS	O
	n	&	RB	O
	messing	V	VBG	O
	about	P	IN	O
	lolxx	!	NN	O
	0	0	0	O
Sentence: 31	@thestomabaglady	@	JJ	O
	it	O	PRP	O
	was	V	VBD	O
	explained	V	VBN	O
	to	P	TO	O
	me	O	PRP	O
	that	P	IN	O
	all	X	PDT	O
	the	D	DT	O
	anti-tnfs	N	JJ	O
	can	V	MD	O
	bring	V	VB	O
	out	T	RP	O
	other	A	JJ	O
	issues	N	NNS	O
	.	,	.	O
	i	O	NN	O
	had	V	VBD	O
	severe	A	JJ	O
	joint	N	JJ	B-ADR
	pain	N	NN	I-ADR
	on	P	IN	O
	humira	^	NN	O
	&	&	CC	O
	remicaid	^	NN	O
	0	0	0	O
Sentence: 32	@renegade_snare	@	JJ	O
	@ibdtweet	@	NN	O
	i	O	JJ	O
	feel	V	VBP	O
	your	D	PRP$	O
	pain	N	NN	O
	:	,	:	O
	(	,	(	O
	just	R	RB	O
	got	V	VBD	O
	1st	A	CD	O
	#fistula	#	NN	B-ADR
	urgh	!	NN	O
	!	,	.	O
	humira	^	NN	O
	worked	V	VBD	O
	for	P	IN	O
	me	O	PRP	O
	for	P	IN	O
	just	R	RB	O
	3months	V	CD	O
	then	R	RB	O
	got	V	VBD	O
	painful	A	JJ	B-ADR
	reactions	N	NNS	I-ADR
	0	0	0	O
Sentence: 33	the	D	DT	O
	day	N	NN	O
	after	P	IN	O
	humira	^	NN	O
	used	V	VBN	O
	to	P	TO	O
	be	V	VB	O
	a	D	DT	O
	great	A	JJ	O
	one	$	CD	O
	,	,	,	O
	full	A	JJ	O
	of	P	IN	O
	energy	N	NN	O
	,	,	,	O
	low	A	JJ	O
	pain	N	NN	O
	.	,	.	O
	after	P	IN	O
	a	D	DT	O
	month	N	NN	O
	,	,	,	O
	it	O	PRP	O
	is	V	VBZ	O
	now	R	RB	O
	a	D	DT	O
	fatigue	N	NN	B-ADR
	filled	V	VBN	O
	achy	A	JJ	B-ADR
	day	N	NN	O
	.	,	.	O
	#rheum	#	NN	O
	0	0	0	O
Sentence: 34	rt	~	NN	O
	@smbell1	@	NN	O
	:	~	:	O
	the	D	DT	O
	day	N	NN	O
	after	P	IN	O
	humira	^	NN	O
	used	V	VBN	O
	to	P	TO	O
	be	V	VB	O
	a	D	DT	O
	great	A	JJ	O
	one	$	CD	O
	,	,	,	O
	full	A	JJ	O
	of	P	IN	O
	energy	N	NN	O
	,	,	,	O
	low	A	JJ	O
	pain	N	NN	O
	.	,	.	O
	after	P	IN	O
	a	D	DT	O
	month	N	NN	O
	,	,	,	O
	it	O	PRP	O
	is	V	VBZ	O
	now	R	RB	O
	a	D	DT	O
	fatigue	N	NN	B-ADR
	filled	V	VBN	O
	achy	A	JJ	B-ADR
	day	N	NN	O
	.	,	.	O
	#rh�	#	NN	O
	0	0	0	O
Sentence: 35	humira	^	NN	O
	+	&	NNP	O
	thioguanine	^	NN	O
	+	&	NNP	O
	preds	^	VBZ	O
	=	,	FW	O
	me	O	PRP	O
	have	V	VBP	O
	no	D	DT	B-ADR
	immune	A	JJ	I-ADR
	lol.	!	NN	O
	.	,	.	O
	thankgod	!	NN	O
	i	O	NN	O
	on	P	IN	O
	anti	N	NN	O
	biotics	N	NNS	O
	for	P	IN	O
	a	D	DT	O
	bit..	N	NN	O
	.	,	.	O
	then	R	RB	O
	preds	^	VBZ	O
	drop	V	NN	O
	off	T	RP	O
	#crohns	#	NN	O
	0	0	0	O
Sentence: 36	anyone	N	NN	O
	have	V	VBP	O
	nerve	N	VBN	B-ADR
	damage	N	NN	I-ADR
	symptoms	N	NNS	O
	(ms	G	VBP	B-ADR
	like)	P	NN	I-ADR
	from	P	IN	O
	enbrel	^	NN	O
	or	&	CC	O
	humira	^	NN	O
	?	,	.	O
	#rheum	#	NN	O
	0	0	0	O
Sentence: 37	well	!	RB	O
	.	,	.	O
	i	O	VB	O
	abruptly	R	RB	O
	stopped	V	VBN	O
	taking	V	VBG	O
	lamotrigine	A	JJ	O
	(lamictal)	N	NN	O
	,	,	,	O
	and	&	CC	O
	that	O	DT	O
	is	V	VBZ	O
	why	R	WRB	O
	i	O	JJ	O
	am	V	VBP	O
	having	V	VBG	O
	the	D	DT	O
	pain	N	NN	B-ADR
	and	&	CC	O
	weakness	N	NN	B-ADR
	.	,	.	O
	possible	A	JJ	O
	seizure	N	NN	B-ADR
	.	,	.	O
	oops	!	NNS	O
	.	,	.	O
	0	0	0	O
Sentence: 38	so	R	RB	O
	while	P	IN	O
	i'm	L	NN	O
	letting	V	VBG	O
	the	D	DT	O
	thoughts	N	NNS	O
	of	P	IN	O
	lamictal/fatal	A	JJ	O
	rashes/tonsillectomy/spinal	N	JJ	B-ADR
	tap	V	NN	O
	settle	V	NN	O
	,	,	,	O
	i'm	L	NN	O
	going	V	VBG	O
	to	P	TO	O
	go	V	VB	O
	rescue	V	VB	O
	a	D	DT	O
	budgie	N	NN	O
	.	,	.	O
	0	0	0	O
Sentence: 39	oh..	!	NN	O
	.	,	.	O
	oh	!	UH	O
	my	D	PRP$	O
	hair	N	NN	B-ADR
	is..	V	NN	I-ADR
	.	,	.	I-ADR
	definitely	R	RB	I-ADR
	falling	V	VBG	I-ADR
	out	T	RP	I-ADR
	.	,	.	O
	._.	E	VB	O
	i	O	JJ	O
	just	R	RB	O
	noticed	V	VBN	O
	it	O	PRP	O
	starting	V	VBG	O
	tonight	R	JJ	O
	.	,	.	O
	google	^	NN	O
	tells	V	NNS	O
	me	O	PRP	O
	other	A	JJ	O
	people	N	NNS	O
	on	P	IN	O
	lamictal	^	JJ	O
	have	V	VBP	O
	this	O	DT	O
	.	,	.	O
	0	0	0	O
Sentence: 40	@kierarampton	@	NN	O
	it's	L	NN	O
	called	V	VBN	O
	lamotrigine	^	NN	O
	,	,	,	O
	i'm	L	JJ	O
	pretty	R	RB	O
	sure	A	JJ	O
	the	D	DT	O
	mix	N	NN	O
	of	P	IN	O
	them	D	PRP	O
	both	O	DT	O
	is	V	VBZ	O
	making	V	VBG	O
	me	O	PRP	O
	sick	A	JJ	B-ADR
	.	,	.	O
	i	O	VBP	O
	don't	V	JJ	O
	think	V	VBP	O
	bipolar	A	JJ	O
	&	&	CC	O
	add	V	JJ	O
	mix	N	NN	O
	very	R	RB	O
	well.	A	RB	O
	.	,	.	O
	0	0	0	O
Sentence: 41	what	O	WP	O
	is	V	VBZ	O
	this	D	DT	O
	weird	A	JJ	O
	feeling	V	NN	O
	i've	L	NN	O
	been	V	VBN	O
	having	V	VBG	O
	all	D	DT	O
	day	N	NN	O
	?	,	.	O
	i've	L	NN	O
	felt	V	VBD	O
	depressed	A	JJ	B-ADR
	yet	R	RB	O
	oddly	R	RB	O
	happy	A	JJ	O
	.	,	.	O
	this	O	DT	O
	is	V	VBZ	O
	the	D	DT	O
	second	A	JJ	O
	day	N	NN	O
	of	P	IN	O
	bid	N	NN	O
	#lamotrigine	#	NN	O
	0	0	0	O
Sentence: 42	@ouch_uk	@	JJ	O
	didnt	V	NN	O
	know	V	VBP	O
	lamotrigine	^	NN	O
	was	V	VBD	O
	addictive	A	JJ	B-ADR
	stopped	V	VBD	O
	as	P	IN	O
	didnt	V	JJ	O
	think	V	VBP	O
	were	V	VBD	O
	helping	V	VBG	O
	@clusterheads	@	NNS	B-ADR
	3	$	CD	O
	days	N	NNS	B-ADR
	of	P	IN	I-ADR
	hell	N	NN	I-ADR
	before	P	IN	O
	realized	V	VBN	O
	,	,	,	O
	back	R	RB	O
	on	P	IN	O
	now	R	RB	O
	0	0	0	O
Sentence: 43	@midwesternwife	@	NN	O
	i	O	NN	O
	feel	V	VBP	O
	your	D	PRP$	O
	pain	N	NN	O
	,	,	,	O
	im	L	NN	O
	allergic	A	NN	B-ADR
	to	P	TO	O
	penicillin	N	VB	O
	,	,	,	O
	ammoxicillin	N	NN	O
	,	,	,	O
	levaquin	N	NN	O
	,	,	,	O
	doxycycline	^	NN	O
	.	,	.	O
	it	O	PRP	O
	sucks	V	VBZ	O
	0	0	0	O
Sentence: 44	@wee_jendo	@	JJ	O
	nicotine	N	NN	O
	lozenges	N	NNS	O
	.	,	.	O
	if	P	IN	O
	i	O	JJ	O
	go	V	VBP	O
	cold	A	JJ	O
	turkey	N	NN	O
	i	O	VBP	O
	can't	V	VBP	B-ADR
	think	V	VB	I-ADR
	(or	&	NNP	O
	see)	V	NN	B-ADR
	straight	A	RB	I-ADR
	,	,	,	O
	so	R	IN	O
	i	O	JJ	O
	can't	V	NN	O
	work	V	NN	O
	.	,	.	O
	0	0	0	O
Sentence: 45	accidentally	R	RB	O
	asphyxiating	V	VBG	O
	yourself	O	PRP	O
	trying	V	VBG	O
	to	P	TO	O
	suck	V	VB	O
	a	D	DT	O
	throat	N	NN	O
	lozenge	N	NN	O
	when	R	WRB	O
	you	O	PRP	O
	have	V	VBP	O
	a	D	DT	O
	stuffed	A	NN	O
	nose	N	RB	O
	.	,	.	O
	#that	#	WP	O
	0	0	0	O
Sentence: 46	he	O	PRP	O
	said	V	VBD	O
	he	O	PRP	O
	is	V	VBZ	O
	'slowly	R	RB	O
	dying	V	VBG	O
	of	P	IN	O
	starvation'	N	NN	B-ADR
	.	,	.	O
	i	O	VBP	O
	don't	V	VBP	O
	want	V	VB	O
	to	P	TO	O
	be	V	VB	O
	the	D	DT	O
	one	$	CD	O
	to	P	TO	O
	say	V	VB	O
	stop	V	NN	O
	taking	V	VBG	O
	the	D	DT	O
	aricept	^	NN	O
	and	&	CC	O
	namenda..	N	NN	O
	.	,	.	O
	0	0	0	O
Sentence: 47	@sophiemonk	@	JJ	O
	coz	P	NN	O
	olanzapine	^	NN	O
	increases	V	NNS	B-ADR
	hunger	N	VBP	I-ADR
	strains	N	NNS	O
	u	O	JJ	O
	all	D	DT	O
	day	N	NN	O
	dosile	V	IN	O
	unless	P	IN	O
	u	O	JJ	O
	get	V	VB	O
	up	T	RP	O
	when	R	WRB	O
	ur	L	JJ	O
	accilies	N	NNS	O
	still	R	RB	O
	wud	V	VBP	O
	n	&	JJ	O
	coffee	N	NN	O
	5am	$	CD	O
	fog	N	NN	O
