Sentence #	Word	NPOS	Tag	
	fluox	VBZ	O
	a	DT	O
	friend	NN	O
	4	CD	O
	years	NNS	O
	,	,	O
	but	CC	O
	switch	VBP	O
	to	TO	O
	cymbalta	VB	O
	4	CD	O
	anti-depress/pain	JJ	O
	control	NN	O
	.	.	O
	i	VB	O
	ocd	JJ	O
	worry	NN	O
	.	.	O
	can't	JJ	O
	stop	JJ	O
	running	NN	O
	mind	NN	O
	0	0	O
Sentence: 12	@lanternlizard	RB	O
	cymbalta	NN	O
	switch	NN	O
	is	VBZ	O
	part	NN	O
	of	IN	O
	what	WP	O
	made	VBD	O
	me	PRP	O
	flip	NN	O
	.	.	O
	but	CC	O
	any	DT	O
	snri	NN	O
	with	IN	O
	family	NN	O
	hx	NN	O
	of	IN	O
	mania	NN	O
	puts	VBZ	O
	you	PRP	O
	at	IN	O
	risk	NN	O
	.	.	O
	0	0	O
Sentence: 13	@enlightenmentor	NN	O
	umm	NN	O
	,	,	O
	are	VBP	O
	you	PRP	O
	being	VBG	O
	a	DT	O
	smart-ass	NN	O
	?	.	O
	dont	JJ	O
	mess	NN	O
	with	IN	O
	me	PRP	O
	right	RB	O
	now	RB	O
	.	.	O
	going	VBG	O
	through	IN	O
	cymbalta	NN	O
	withdrawal	NN	B-ADR
	i	NN	O
	think	VBP	O
	&	CC	O
	im	VBP	O
	very	RB	O
	depressed	JJ	O
	.	.	O
	0	0	O
Sentence: 14	today	NN	O
	i'm	VBP	O
	an	DT	O
	emotional	JJ	B-ADR
	mess	NN	I-ADR
	.	.	O
	that's	VB	O
	what	WP	O
	happens	VBZ	O
	when	WRB	O
	i	JJ	O
	think	VBP	O
	i	NN	O
	could	MD	O
	wean	VB	O
	myself	PRP	O
	off	IN	O
	of	IN	O
	cymbalta	NN	O
	.	.	O
	0	0	O
Sentence: 15	losing	VBG	O
	it	PRP	O
	.	.	O
	could	MD	O
	not	RB	B-ADR
	remember	VB	I-ADR
	the	DT	O
	word	NN	O
	power	NN	O
	strip	NN	O
	.	.	O
	wonder	VB	O
	which	WDT	O
	drug	NN	O
	is	VBZ	O
	doing	VBG	O
	this	DT	O
	memory	NN	B-ADR
	lapse	JJ	I-ADR
	thing	NN	O
	.	.	O
	my	PRP$	O
	guess	NN	O
	the	DT	O
	cymbalta	NN	O
	.	.	O
	#helps	VB	O
	0	0	O
Sentence: 16	that	DT	O
	nap	NN	B-ADR
	was	VBD	O
	on	IN	O
	point...	NN	O
	.	.	O
	cymbalta	NN	O
	did	VBD	O
	that	IN	O
	shit	NN	O
	cuz	NN	O
	i	JJ	O
	dont	VBP	O
	take	VB	O
	naps...ever	NN	O
	0	0	O
Sentence: 17	@andiedanley2626	JJ	O
	cymbalta	NN	O
	.	.	O
	3x	CD	O
	the	DT	O
	dosage	NN	O
	i	NN	O
	was	VBD	O
	once	RB	O
	on...everything	JJ	O
	is	VBZ	O
	psychedelic	JJ	B-ADR
	and	CC	O
	yuck	NN	O
	.	.	O
	still	RB	O
	grateful	JJ	O
	for	IN	O
	meds	NNS	O
	!	.	O
	0	0	O
Sentence: 18	@santypas	JJ	O
	@scrabalisios	NNS	O
	i'm	VBP	O
	taking	VBG	O
	700mg	CD	O
	pregablin	NN	O
	and	CC	O
	60	CD	O
	mg	NNS	O
	duloxetine	JJ	O
	hence	NN	O
	why	WRB	O
	i'm	NN	O
	totally	RB	O
	mashed	VBD	B-ADR
	0	0	O
Sentence: 19	@autumnuh_beee	NN	O
	i	NN	O
	was	VBD	O
	on	IN	O
	celexa	NN	O
	,	,	O
	which	WDT	O
	made	VBD	O
	me	PRP	O
	sleepy	NN	O
	.	.	O
	i	VB	O
	switched	VBD	O
	to	TO	O
	effexor	VB	O
	.	.	O
	it	PRP	O
	has	VBZ	O
	norepinephrine	VBN	O
	in	IN	O
	it	PRP	O
	,	,	O
	so	IN	O
	it	PRP	O
	jump	NN	O
	starts	VBZ	O
	me	PRP	O
	in	IN	O
	the	DT	O
	mornin	NN	O
	0	0	O
Sentence: 20	i	NN	O
	feel	VBP	O
	so	RB	O
	pill-ill	JJ	O
	again	RB	O
	-	:	O
	decided	VBD	O
	to	TO	O
	seriously	RB	O
	cut	VB	O
	down	RP	O
	to	TO	O
	just	RB	O
	weekly	VB	O
	enbrel	NN	O
	and	CC	O
	metho	JJ	O
	alongside	JJ	O
	daily	JJ	O
	nsaids	NNS	O
	#rheum	NN	O
	.	.	O
	0	0	O
Sentence: 21	rt	NN	O
	@dratp	NN	O
	:	:	O
	@lisabinkc	JJ	O
	@trainingwithra	NN	O
	@dsymons	NNS	O
	enbrel	VBP	O
	also	RB	O
	available	JJ	O
	as	IN	O
	prefilled	JJ	O
	syringe	NN	O
	,	,	O
	much	JJ	O
	gentler	NN	O
	.	.	O
	pen	JJ	O
	leaves	VBZ	O
	bruises	NNS	O
	!	.	O
	#rheum	NN	O
	0	0	O
Sentence: 22	note	NN	O
	to	TO	O
	self	VB	O
	:	:	O
	do	VB	O
	not	RB	O
	take	VB	O
	#fluoxetine	NN	O
	and	CC	O
	#aleved	VBN	O
	together	RB	O
	.	.	O
	i'm	VB	O
	a	DT	O
	space	NN	B-ADR
	cadet	NN	I-ADR
	today	NN	O
	!	.	O
	#druginteractions	NNS	O
	0	0	O
Sentence: 23	i'm	JJ	O
	sure	NN	O
	this	DT	O
	fluoxetine	NN	O
	is	VBZ	O
	making	VBG	O
	my	PRP$	O
	illness	JJ	B-ADR
	worse	NN	I-ADR
	,	,	O
	especially	RB	O
	since	IN	O
	i	NN	O
	can't	VBP	B-ADR
	eat.	NN	I-ADR
	.	.	O
	0	0	O
Sentence: 24	i	NNS	O
	have	VBP	O
	some	DT	O
	seriously	RB	O
	disturbing	JJ	O
	dreams	NNS	O
	.	.	O
	thanks	NNS	O
	#fluoxetine	VBP	O
	thanks	NNS	O
	a	DT	O
	freaking	NN	O
	lot	NN	O
	.	.	O
	well	RB	O
	i	JJ	O
	guess	NN	O
	it's	NN	O
	better	RBR	O
	than	IN	O
	being	VBG	O
	#suicidal	JJ	O
	..only	RB	O
	just	RB	O
	0	0	O
Sentence: 25	rt	NN	O
	@ianibbo	NN	O
	:	:	O
	finding	VBG	O
	out	RP	O
	i'm	JJ	O
	allergic	NN	B-ADR
	to	TO	O
	fluoxetine	VB	O
	was	VBD	O
	a	DT	O
	bit	NN	O
	of	IN	O
	a	DT	O
	shock	NN	O
	tho	NN	O
	.	.	O
	mind	NN	O
	,	,	O
	only	RB	O
	someone	NN	O
	from	IN	O
	yorkshire	NN	O
	could	MD	O
	be	VB	O
	actually	RB	O
	allergic	JJ	O
	�	NN	O
	0	0	O
Sentence: 26	i	NN	O
	took	VBD	O
	11	CD	O
	pills	NNS	O
	of	IN	O
	geodon	NN	O
	i	NN	O
	was	VBD	O
	rushed	VBN	O
	to	TO	O
	the	DT	O
	hospital	NN	O
	they	PRP	O
	had	VBD	O
	to	TO	O
	stick	VB	O
	a	DT	O
	tube	NN	O
	up	RP	O
	my	PRP$	O
	nose	JJ	O
	ugh	JJ	O
	never	RB	O
	again	RB	O
	i	JJ	O
	feel	VBP	O
	so	RB	O
	bad	JJ	O
	today	NN	O
	withdrawals	NNS	B-ADR
	.	.	O
	0	0	O
Sentence: 27	so	RB	O
	the	DT	O
	geodon	NN	O
	is	VBZ	O
	what	WP	O
	made	VBD	O
	me	PRP	O
	so	IN	O
	frickin	JJ	O
	hungry	NN	B-ADR
	all	PDT	O
	the	DT	O
	time	NN	O
	cause	NN	O
	i've	NN	O
	eaten	VBN	O
	very	RB	O
	little	JJ	O
	these	DT	O
	past	IN	O
	few	JJ	O
	days	NNS	O
	.	.	O
	0	0	O
Sentence: 28	will	MD	O
	still	RB	O
	be	VB	O
	on	IN	O
	the	DT	O
	geodon	NN	O
	,	,	O
	but	CC	O
	will	MD	O
	also	RB	O
	be	VB	O
	taking	VBG	O
	a	DT	O
	low-dose	JJ	O
	alprazolam	NN	O
	as	IN	O
	needed	VBN	O
	for	IN	O
	the	DT	O
	sudden	JJ	O
	anxiety	NN	O
	attacks	NNS	O
	ive	VBP	O
	been	VBN	O
	getting	VBG	O
	0	0	O
Sentence: 29	@crohnietweets	NNS	O
	i	VBP	O
	found	VBD	O
	the	DT	O
	humira	NN	O
	to	TO	O
	fix	VB	O
	all	DT	O
	my	PRP$	O
	crohn's	NN	O
	issues	NNS	O
	,	,	O
	but	CC	O
	cause	VBP	O
	other	JJ	O
	issues	NNS	O
	.	.	O
	i	VB	O
	went	VBD	O
	off	IN	O
	it	PRP	O
	due	JJ	O
	to	TO	O
	issues	NNS	O
	w	VB	O
	nerves/muscle	NN	B-ADR
	spasms	NNS	I-ADR
	0	0	O
Sentence: 30	@showbizmom48	NN	O
	mri	NN	O
	showed	VBD	O
	lesions	NNS	O
	in	IN	O
	my	PRP$	O
	noggin	NN	O
	:	:	O
	s	NN	O
	got	VBD	O
	to	TO	O
	have	VB	O
	eeg	VBN	O
	to	TO	O
	see	VB	O
	if	IN	O
	its	PRP$	O
	ms	NN	O
	or	CC	O
	humira	NN	O
	doing	VBG	O
	it.so	RB	O
	more	RBR	O
	tests	NNS	O
	n	RB	O
	messing	VBG	O
	about	IN	O
	lolxx	NN	O
	0	0	O
Sentence: 31	@thestomabaglady	JJ	O
	it	PRP	O
	was	VBD	O
	explained	VBN	O
	to	TO	O
	me	PRP	O
	that	IN	O
	all	PDT	O
	the	DT	O
	anti-tnfs	JJ	O
	can	MD	O
	bring	VB	O
	out	RP	O
	other	JJ	O
	issues	NNS	O
	.	.	O
	i	NN	O
	had	VBD	O
	severe	JJ	O
	joint	JJ	B-ADR
	pain	NN	I-ADR
	on	IN	O
	humira	NN	O
	&	CC	O
	remicaid	NN	O
	0	0	O
Sentence: 32	@renegade_snare	JJ	O
	@ibdtweet	NN	O
	i	JJ	O
	feel	VBP	O
	your	PRP$	O
	pain	NN	O
	:	:	O
	(	(	O
	just	RB	O
	got	VBD	O
	1st	CD	O
	#fistula	NN	B-ADR
	urgh	NN	O
	!	.	O
	humira	NN	O
	worked	VBD	O
	for	IN	O
	me	PRP	O
	for	IN	O
	just	RB	O
	3months	CD	O
	then	RB	O
	got	VBD	O
	painful	JJ	B-ADR
	reactions	NNS	I-ADR
	0	0	O
Sentence: 33	the	DT	O
	day	NN	O
	after	IN	O
	humira	NN	O
	used	VBN	O
	to	TO	O
	be	VB	O
	a	DT	O
	great	JJ	O
	one	CD	O
	,	,	O
	full	JJ	O
	of	IN	O
	energy	NN	O
	,	,	O
	low	JJ	O
	pain	NN	O
	.	.	O
	after	IN	O
	a	DT	O
	month	NN	O
	,	,	O
	it	PRP	O
	is	VBZ	O
	now	RB	O
	a	DT	O
	fatigue	NN	B-ADR
	filled	VBN	O
	achy	JJ	B-ADR
	day	NN	O
	.	.	O
	#rheum	NN	O
	0	0	O
Sentence: 34	rt	NN	O
	@smbell1	NN	O
	:	:	O
	the	DT	O
	day	NN	O
	after	IN	O
	humira	NN	O
	used	VBN	O
	to	TO	O
	be	VB	O
	a	DT	O
	great	JJ	O
	one	CD	O
	,	,	O
	full	JJ	O
	of	IN	O
	energy	NN	O
	,	,	O
	low	JJ	O
	pain	NN	O
	.	.	O
	after	IN	O
	a	DT	O
	month	NN	O
	,	,	O
	it	PRP	O
	is	VBZ	O
	now	RB	O
	a	DT	O
	fatigue	NN	B-ADR
	filled	VBN	O
	achy	JJ	B-ADR
	day	NN	O
	.	.	O
	#rh�	NN	O
	0	0	O
Sentence: 35	humira	NN	O
	+	NNP	O
	thioguanine	NN	O
	+	NNP	O
	preds	VBZ	O
	=	FW	O
	me	PRP	O
	have	VBP	O
	no	DT	B-ADR
	immune	JJ	I-ADR
	lol.	NN	O
	.	.	O
	thankgod	NN	O
	i	NN	O
	on	IN	O
	anti	NN	O
	biotics	NNS	O
	for	IN	O
	a	DT	O
	bit..	NN	O
	.	.	O
	then	RB	O
	preds	VBZ	O
	drop	NN	O
	off	RP	O
	#crohns	NN	O
	0	0	O
Sentence: 36	anyone	NN	O
	have	VBP	O
	nerve	VBN	B-ADR
	damage	NN	I-ADR
	symptoms	NNS	O
	(ms	VBP	B-ADR
	like)	NN	I-ADR
	from	IN	O
	enbrel	NN	O
	or	CC	O
	humira	NN	O
	?	.	O
	#rheum	NN	O
	0	0	O
Sentence: 37	well	RB	O
	.	.	O
	i	VB	O
	abruptly	RB	O
	stopped	VBN	O
	taking	VBG	O
	lamotrigine	JJ	O
	(lamictal)	NN	O
	,	,	O
	and	CC	O
	that	DT	O
	is	VBZ	O
	why	WRB	O
	i	JJ	O
	am	VBP	O
	having	VBG	O
	the	DT	O
	pain	NN	B-ADR
	and	CC	O
	weakness	NN	B-ADR
	.	.	O
	possible	JJ	O
	seizure	NN	B-ADR
	.	.	O
	oops	NNS	O
	.	.	O
	0	0	O
Sentence: 38	so	RB	O
	while	IN	O
	i'm	NN	O
	letting	VBG	O
	the	DT	O
	thoughts	NNS	O
	of	IN	O
	lamictal/fatal	JJ	O
	rashes/tonsillectomy/spinal	JJ	B-ADR
	tap	NN	O
	settle	NN	O
	,	,	O
	i'm	NN	O
	going	VBG	O
	to	TO	O
	go	VB	O
	rescue	VB	O
	a	DT	O
	budgie	NN	O
	.	.	O
	0	0	O
Sentence: 39	oh..	NN	O
	.	.	O
	oh	UH	O
	my	PRP$	O
	hair	NN	B-ADR
	is..	NN	I-ADR
	.	.	I-ADR
	definitely	RB	I-ADR
	falling	VBG	I-ADR
	out	RP	I-ADR
	.	.	O
	._.	VB	O
	i	JJ	O
	just	RB	O
	noticed	VBN	O
	it	PRP	O
	starting	VBG	O
	tonight	JJ	O
	.	.	O
	google	NN	O
	tells	NNS	O
	me	PRP	O
	other	JJ	O
	people	NNS	O
	on	IN	O
	lamictal	JJ	O
	have	VBP	O
	this	DT	O
	.	.	O
	0	0	O
Sentence: 40	@kierarampton	NN	O
	it's	NN	O
	called	VBN	O
	lamotrigine	NN	O
	,	,	O
	i'm	JJ	O
	pretty	RB	O
	sure	JJ	O
	the	DT	O
	mix	NN	O
	of	IN	O
	them	PRP	O
	both	DT	O
	is	VBZ	O
	making	VBG	O
	me	PRP	O
	sick	JJ	B-ADR
	.	.	O
	i	VBP	O
	don't	JJ	O
	think	VBP	O
	bipolar	JJ	O
	&	CC	O
	add	JJ	O
	mix	NN	O
	very	RB	O
	well.	RB	O
	.	.	O
	0	0	O
Sentence: 41	what	WP	O
	is	VBZ	O
	this	DT	O
	weird	JJ	O
	feeling	NN	O
	i've	NN	O
	been	VBN	O
	having	VBG	O
	all	DT	O
	day	NN	O
	?	.	O
	i've	NN	O
	felt	VBD	O
	depressed	JJ	B-ADR
	yet	RB	O
	oddly	RB	O
	happy	JJ	O
	.	.	O
	this	DT	O
	is	VBZ	O
	the	DT	O
	second	JJ	O
	day	NN	O
	of	IN	O
	bid	NN	O
	#lamotrigine	NN	O
	0	0	O
Sentence: 42	@ouch_uk	JJ	O
	didnt	NN	O
	know	VBP	O
	lamotrigine	NN	O
	was	VBD	O
	addictive	JJ	B-ADR
	stopped	VBD	O
	as	IN	O
	didnt	JJ	O
	think	VBP	O
	were	VBD	O
	helping	VBG	O
	@clusterheads	NNS	B-ADR
	3	CD	O
	days	NNS	B-ADR
	of	IN	I-ADR
	hell	NN	I-ADR
	before	IN	O
	realized	VBN	O
	,	,	O
	back	RB	O
	on	IN	O
	now	RB	O
	0	0	O
Sentence: 43	@midwesternwife	NN	O
	i	NN	O
	feel	VBP	O
	your	PRP$	O
	pain	NN	O
	,	,	O
	im	NN	O
	allergic	NN	B-ADR
	to	TO	O
	penicillin	VB	O
	,	,	O
	ammoxicillin	NN	O
	,	,	O
	levaquin	NN	O
	,	,	O
	doxycycline	NN	O
	.	.	O
	it	PRP	O
	sucks	VBZ	O
	0	0	O
Sentence: 44	@wee_jendo	JJ	O
	nicotine	NN	O
	lozenges	NNS	O
	.	.	O
	if	IN	O
	i	JJ	O
	go	VBP	O
	cold	JJ	O
	turkey	NN	O
	i	VBP	O
	can't	VBP	B-ADR
	think	VB	I-ADR
	(or	NNP	O
	see)	NN	B-ADR
	straight	RB	I-ADR
	,	,	O
	so	IN	O
	i	JJ	O
	can't	NN	O
	work	NN	O
	.	.	O
	0	0	O
Sentence: 45	accidentally	RB	O
	asphyxiating	VBG	O
	yourself	PRP	O
	trying	VBG	O
	to	TO	O
	suck	VB	O
	a	DT	O
	throat	NN	O
	lozenge	NN	O
	when	WRB	O
	you	PRP	O
	have	VBP	O
	a	DT	O
	stuffed	NN	O
	nose	RB	O
	.	.	O
	#that	WP	O
	0	0	O
Sentence: 46	he	PRP	O
	said	VBD	O
	he	PRP	O
	is	VBZ	O
	'slowly	RB	O
	dying	VBG	O
	of	IN	O
	starvation'	NN	B-ADR
	.	.	O
	i	VBP	O
	don't	VBP	O
	want	VB	O
	to	TO	O
	be	VB	O
	the	DT	O
	one	CD	O
	to	TO	O
	say	VB	O
	stop	NN	O
	taking	VBG	O
	the	DT	O
	aricept	NN	O
	and	CC	O
	namenda..	NN	O
	.	.	O
	0	0	O
Sentence: 47	@sophiemonk	JJ	O
	coz	NN	O
	olanzapine	NN	O
	increases	NNS	B-ADR
	hunger	VBP	I-ADR
	strains	NNS	O
	u	JJ	O
	all	DT	O
	day	NN	O
	dosile	IN	O
	unless	IN	O
	u	JJ	O
	get	VB	O
	up	RP	O
	when	WRB	O
	ur	JJ	O
	accilies	NNS	O
	still	RB	O
	wud	VBP	O
	n	JJ	O
	coffee	NN	O
	5am	CD	O
	fog	NN	O
	frost	NN	O
	0	0	O
Sentence: 48	@river__tam	JJ	O
	olanzapine	NN	O
	is	VBZ	O
	amazing	VBG	O
	srsly	RB	O
	,	,	O
	the	DT	O
	dreams	NNS	B-ADR
	are	VBP	O
	immense	JJ	O
	,	,	O
	no	DT	O
	addiction	NN	O
	,	,	O
	its	PRP$	O
	gorgeous	JJ	O
	,	,	O
	like	IN	O
	brave	VBP	O
	new	JJ	O
	world	NN	O
	soma	NN	O
	to	TO	O
	me	PRP	O
	0	0	O
Sentence: 49	olanzapine	NN	O
	is	VBZ	O
	supposed	VBN	O
	to	TO	O
	make	VB	O
	you	PRP	O
	a	DT	O
	fat	JJ	B-ADR
	bastard	NN	O
	i	NN	O
	got	VBD	O
	off	RP	O
	lucky	JJ	O
	.	.	O
	lithium	NN	O
	makes	VBZ	O
	my	PRP$	O
	hand	NN	B-ADR
	shake	NN	I-ADR
	.	.	O
	bipolar	NN	O
	or	CC	O
	schizo	NN	O
	drugs	NNS	O
	.	.	O
	0	0	O
Sentence: 50	@christal_l	NN	O
	that's	VBZ	O
	the	DT	O
	problem	NN	O
	with	IN	O
	most	JJS	O
	of	IN	O
	them	PRP	O
	-	:	O
	side	NN	O
	effects	NNS	O
	.	.	O
	i	NN	O
	was	VBD	O
	on	IN	O
	paxil	NN	O
	after	IN	O
	my	PRP$	O
	mom	NN	O
	died	VBD	O
	and	CC	O
	"	NNP	O
	"	VBP	O
	it	PRP	O
	"	VBZ	O
	"	NNP	O
	stopped	VBD	B-ADR
	working	VBG	I-ADR
	.	.	O
	fuck	NN	O
	that	IN	O
	.	.	O
	0	0	O
Sentence: 51	@jennabear32819	NNS	O
	have	VBP	O
	to	TO	O
	go	VB	O
	to	TO	O
	a	DT	O
	doc	NN	O
	now	RB	O
	to	TO	O
	see	VB	O
	why	WRB	O
	i'm	NN	O
	still	RB	O
	gaining	VBG	B-ADR
	.	.	O
	stupid	JJ	O
	paxil	NN	O
	made	VBD	O
	me	PRP	O
	gain	VB	B-ADR
	like	IN	I-ADR
	50	CD	I-ADR
	pounds	NNS	I-ADR
	?	.	O
	?	.	O
	and	CC	O
	now	RB	O
	i	RB	O
	have	VBP	O
	to	TO	O
	lose	VB	O
	it	PRP	O
	0	0	O
Sentence: 52	anemia	NN	O
	,	,	O
	hormones	NNS	O
	,	,	O
	depression	NN	O
	&	CC	O
	paxil	NN	O
	are	VBP	O
	totally	RB	O
	getting	VBG	O
	the	DT	O
	best	JJS	O
	of	IN	O
	me	PRP	O
	this	DT	O
	morning	NN	O
	.	.	O
	getting	VBG	B-ADR
	out	IN	I-ADR
	of	IN	I-ADR
	bed	NN	I-ADR
	is	VBZ	I-ADR
	haaard	RB	I-ADR
	.	.	O
	0	0	O
Sentence: 53	my	PRP$	O
	creativity	NN	B-ADR
	was	VBD	I-ADR
	blocked	VBN	I-ADR
	by	IN	O
	lithium	NN	O
	and	CC	O
	prozac	NN	O
	and	CC	O
	wellbutrin	NN	O
	and	CC	O
	paxil	NN	O
	and	CC	O
	zoloft	NN	O
	and	CC	O
	effexor	NN	O
	and	CC	O
	lexapro	NN	O
	and	CC	O
	cymbalta	NN	O
	and	CC	O
	abilify-	NN	O
	0	0	O
Sentence: 54	the	DT	O
	#zombieapocalypse	NN	O
	will	MD	O
	stem	VB	O
	from	IN	O
	paxil	JJ	O
	w/d	NN	B-ADR
	symptoms	NNS	O
	.	.	O
	mark	VB	O
	my	PRP$	O
	words	NNS	O
	.	.	O
	0	0	O
Sentence: 55	for	IN	O
	anxiety	NN	O
	to	TO	O
	penetrate	VB	O
	through	IN	O
	my	PRP$	O
	drowsy	NN	B-ADR
	haze	NN	I-ADR
	(a	NNP	O
	result	NN	O
	of	IN	O
	the	DT	O
	triumvirate	NN	O
	of	IN	O
	fluoxetine	NN	O
	,	,	O
	pregabalin	NN	O
	,	,	O
	amoxicillin	VB	O
	?	.	O
	)	)	O
	is	VBZ	O
	pretty	JJ	O
	good	JJ	O
	going	VBG	O
	.	.	O
	0	0	O
Sentence: 56	@deltrimental	JJ	O
	i	NN	O
	came	VBD	O
	off	RP	O
	pristiq	NN	O
	in	IN	O
	july	NN	O
	last	JJ	O
	year	NN	O
	.	.	O
	i	NN	O
	still	RB	O
	get	VB	O
	brain	NN	B-ADR
	zaps	NNS	I-ADR
	when	WRB	O
	tired	VBN	O
	.	.	O
	my	PRP$	O
	genitals	NNS	B-ADR
	aren�t	VBP	I-ADR
	numb	RB	I-ADR
	now	RB	O
	tho	VBZ	O
	-	:	O
	swings/roundabouts	NNS	O
	0	0	O
Sentence: 57	@missmazygg	NN	O
	anxiety	NN	O
	has	VBZ	O
	been	VBN	O
	so	RB	O
	high	JJ	O
	.	.	O
	but	CC	O
	yeah	UH	O
	,	,	O
	if	IN	O
